N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-2.120263536	0.002602175	6.45	1.55	NA	6.45	linear	10	yes	bryozoa	M_colligatum
2	-2.120263536	0.001301088	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
1	-1.975135024	0.002602175	6.9	NA	NA	6.9	NA	NA	NA	NA	NA
1	-2.072237912	0.002602175	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-2.147063816	0.001301088	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
5	-2.078641328	0.000520435	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-2.080242182	0.001301088	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
2	-2.124577751	0.001301088	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
1	-2.120263536	0.002602175	7.45	NA	NA	7.45	NA	NA	NA	NA	NA
10	-2.116088154	0.000260218	7.6	NA	NA	7.6	NA	NA	NA	NA	NA
1	-2.120263536	0.002602175	7.65	NA	NA	7.65	NA	NA	NA	NA	NA
7	-2.117629554	0.000371739	7.7	NA	NA	7.7	NA	NA	NA	NA	NA
14	-2.086905991	0.00018587	7.75	NA	NA	7.75	NA	NA	NA	NA	NA
23	-2.093256299	0.000113138	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
12	-2.109982769	0.000216848	7.9	NA	NA	7.9	NA	NA	NA	NA	NA
10	-2.112248177	0.000260218	8	NA	NA	8	NA	NA	NA	NA	NA
