N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
1	-1.22092358	0.006829865	6.45	1.55	NA	6.45	linear	10	yes	bryozoa	M_colligatum
2	-1.172225736	0.003414932	6.5	NA	NA	6.5	NA	NA	NA	NA	NA
1	-1.088166581	0.006829865	6.9	NA	NA	6.9	NA	NA	NA	NA	NA
1	-0.996095528	0.006829865	7.15	NA	NA	7.15	NA	NA	NA	NA	NA
2	-1.167242281	0.003414932	7.2	NA	NA	7.2	NA	NA	NA	NA	NA
5	-1.062114959	0.001365973	7.25	NA	NA	7.25	NA	NA	NA	NA	NA
2	-1.192615725	0.003414932	7.3	NA	NA	7.3	NA	NA	NA	NA	NA
2	-1.041565331	0.003414932	7.4	NA	NA	7.4	NA	NA	NA	NA	NA
1	-1.023196844	0.006829865	7.45	NA	NA	7.45	NA	NA	NA	NA	NA
10	-1.179972861	0.000682986	7.6	NA	NA	7.6	NA	NA	NA	NA	NA
1	-0.929591073	0.006829865	7.65	NA	NA	7.65	NA	NA	NA	NA	NA
7	-1.181833537	0.000975695	7.7	NA	NA	7.7	NA	NA	NA	NA	NA
14	-1.139306692	0.000487847	7.75	NA	NA	7.75	NA	NA	NA	NA	NA
23	-1.133503802	0.000296951	7.8	NA	NA	7.8	NA	NA	NA	NA	NA
12	-1.147822924	0.000569155	7.9	NA	NA	7.9	NA	NA	NA	NA	NA
10	-1.174112453	0.000682986	8	NA	NA	8	NA	NA	NA	NA	NA
