N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	12.9	0.4624	0	0.0398	NA	0	linear	1	Yes	snail	Mandarina_chichijiman
30	13.3	0.4489	960	NA	NA	0.00096	NA	NA	NA	NA	NA
30	14.2	0.6724	1550	NA	NA	0.00155	NA	NA	NA	NA	NA
30	13.4	0.3025	1980	NA	NA	0.00198	NA	NA	NA	NA	NA
13	13.2	0.7744	5960	NA	NA	0.00596	NA	NA	NA	NA	NA
14	13.8	0.4225	12300	NA	NA	0.0123	NA	NA	NA	NA	NA
12	13.9	0.4225	16700	NA	NA	0.0167	NA	NA	NA	NA	NA
14	14.8	0.9604	18230	NA	NA	0.01823	NA	NA	NA	NA	NA
17	15.5	1	22300	NA	NA	0.0223	NA	NA	NA	NA	NA
12	15.4	0.7225	24800	NA	NA	0.0248	NA	NA	NA	NA	NA
20	15.2	0.5041	26600	NA	NA	0.0266	NA	NA	NA	NA	NA
20	14.8	0.25	30100	NA	NA	0.0301	NA	NA	NA	NA	NA
20	15.4	0.5929	32400	NA	NA	0.0324	NA	NA	NA	NA	NA
14	15.9	0.5041	33600	NA	NA	0.0336	NA	NA	NA	NA	NA
15	14.5	0.6241	39800	NA	NA	0.0398	NA	NA	NA	NA	NA
