N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	13.6	0.7396	0	0.0398	NA	0	linear	1	Yes	snail	Mandarina_chichijiman
30	14.1	0.2809	960	NA	NA	0.00096	NA	NA	NA	NA	NA
30	14.6	1.21	1550	NA	NA	0.00155	NA	NA	NA	NA	NA
30	13.9	0.8649	1980	NA	NA	0.00198	NA	NA	NA	NA	NA
13	14	0.8649	5960	NA	NA	0.00596	NA	NA	NA	NA	NA
14	14.5	0.4489	12300	NA	NA	0.0123	NA	NA	NA	NA	NA
12	14.4	0.5041	16700	NA	NA	0.0167	NA	NA	NA	NA	NA
14	15.6	0.9216	18230	NA	NA	0.01823	NA	NA	NA	NA	NA
17	15.8	0.6724	22300	NA	NA	0.0223	NA	NA	NA	NA	NA
12	15.9	0.5184	24800	NA	NA	0.0248	NA	NA	NA	NA	NA
20	16	0.6724	26600	NA	NA	0.0266	NA	NA	NA	NA	NA
20	15.7	0.2304	30100	NA	NA	0.0301	NA	NA	NA	NA	NA
20	15.8	1.2544	32400	NA	NA	0.0324	NA	NA	NA	NA	NA
14	16.2	0.8464	33600	NA	NA	0.0336	NA	NA	NA	NA	NA
15	15.3	1.2321	39800	NA	NA	0.0398	NA	NA	NA	NA	NA
