N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	7.22	0.2704	0	0.0398	NA	0	linear	1	Yes	snail	Mandarina_chichijiman
30	6.96	0.4225	960	NA	NA	0.00096	NA	NA	NA	NA	NA
30	7.03	0.2601	1550	NA	NA	0.00155	NA	NA	NA	NA	NA
30	6.68	0.16	1980	NA	NA	0.00198	NA	NA	NA	NA	NA
13	6.8	0.3136	5960	NA	NA	0.00596	NA	NA	NA	NA	NA
14	6.83	0.3249	12300	NA	NA	0.0123	NA	NA	NA	NA	NA
12	6.94	0.4624	16700	NA	NA	0.0167	NA	NA	NA	NA	NA
14	7.58	0.5476	18230	NA	NA	0.01823	NA	NA	NA	NA	NA
17	7.73	0.4225	22300	NA	NA	0.0223	NA	NA	NA	NA	NA
12	7.82	0.16	24800	NA	NA	0.0248	NA	NA	NA	NA	NA
20	8.7	0.8649	26600	NA	NA	0.0266	NA	NA	NA	NA	NA
20	8.69	0.1849	30100	NA	NA	0.0301	NA	NA	NA	NA	NA
20	8.64	0.5329	32400	NA	NA	0.0324	NA	NA	NA	NA	NA
14	9.58	0.4356	33600	NA	NA	0.0336	NA	NA	NA	NA	NA
15	8.4	0.36	39800	NA	NA	0.0398	NA	NA	NA	NA	NA
