N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	17.8	1.2544	0	0.0398	NA	0	linear	1	Yes	snail	Mandarina_chichijiman
30	18.8	0.6889	960	NA	NA	0.00096	NA	NA	NA	NA	NA
30	19.2	0.9604	1550	NA	NA	0.00155	NA	NA	NA	NA	NA
30	18.6	0.8836	1980	NA	NA	0.00198	NA	NA	NA	NA	NA
13	18.7	0.5476	5960	NA	NA	0.00596	NA	NA	NA	NA	NA
14	20.2	0.7396	12300	NA	NA	0.0123	NA	NA	NA	NA	NA
12	19.9	1.1025	16700	NA	NA	0.0167	NA	NA	NA	NA	NA
14	21.5	1.7689	18230	NA	NA	0.01823	NA	NA	NA	NA	NA
17	23.2	3.1684	22300	NA	NA	0.0223	NA	NA	NA	NA	NA
12	19.8	1.21	24800	NA	NA	0.0248	NA	NA	NA	NA	NA
20	19.7	1.9321	26600	NA	NA	0.0266	NA	NA	NA	NA	NA
20	19	1.1449	30100	NA	NA	0.0301	NA	NA	NA	NA	NA
20	19.3	0.36	32400	NA	NA	0.0324	NA	NA	NA	NA	NA
14	19.9	1.4884	33600	NA	NA	0.0336	NA	NA	NA	NA	NA
15	17.6	3.6864	39800	NA	NA	0.0398	NA	NA	NA	NA	NA
