N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	2.06	0.0169	0	0.0398	NA	0	linear	1	Yes	snail	Mandarina_chichijiman
30	1.83	0.0169	960	NA	NA	0.00096	NA	NA	NA	NA	NA
30	1.85	0.01	1550	NA	NA	0.00155	NA	NA	NA	NA	NA
30	1.82	0.0064	1980	NA	NA	0.00198	NA	NA	NA	NA	NA
13	1.83	0.0256	5960	NA	NA	0.00596	NA	NA	NA	NA	NA
14	1.89	0.0169	12300	NA	NA	0.0123	NA	NA	NA	NA	NA
12	1.87	0.0676	16700	NA	NA	0.0167	NA	NA	NA	NA	NA
14	1.92	0.0484	18230	NA	NA	0.01823	NA	NA	NA	NA	NA
17	1.97	0.0576	22300	NA	NA	0.0223	NA	NA	NA	NA	NA
12	2.35	0.0361	24800	NA	NA	0.0248	NA	NA	NA	NA	NA
20	2.68	0.1089	26600	NA	NA	0.0266	NA	NA	NA	NA	NA
20	2.88	0.01	30100	NA	NA	0.0301	NA	NA	NA	NA	NA
20	2.64	0.0729	32400	NA	NA	0.0324	NA	NA	NA	NA	NA
14	2.73	0.1764	33600	NA	NA	0.0336	NA	NA	NA	NA	NA
15	2.43	0.3025	39800	NA	NA	0.0398	NA	NA	NA	NA	NA
