N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	9.95	0.3721	0	0.0398	NA	0	linear	1	Yes	snail	Mandarina_chichijiman
30	12.4	0.2809	960	NA	NA	0.00096	NA	NA	NA	NA	NA
30	13	0.25	1550	NA	NA	0.00155	NA	NA	NA	NA	NA
30	12.3	0.2025	1980	NA	NA	0.00198	NA	NA	NA	NA	NA
13	12.4	0.2809	5960	NA	NA	0.00596	NA	NA	NA	NA	NA
14	12.9	0.4225	12300	NA	NA	0.0123	NA	NA	NA	NA	NA
12	12.8	0.5329	16700	NA	NA	0.0167	NA	NA	NA	NA	NA
14	13.2	1.0609	18230	NA	NA	0.01823	NA	NA	NA	NA	NA
17	13.3	0.9604	22300	NA	NA	0.0223	NA	NA	NA	NA	NA
12	11.4	0.2916	24800	NA	NA	0.0248	NA	NA	NA	NA	NA
20	10.8	0.36	26600	NA	NA	0.0266	NA	NA	NA	NA	NA
20	10.7	0.6889	30100	NA	NA	0.0301	NA	NA	NA	NA	NA
20	10.9	0.8649	32400	NA	NA	0.0324	NA	NA	NA	NA	NA
14	10.7	0.7056	33600	NA	NA	0.0336	NA	NA	NA	NA	NA
15	10.2	0.81	39800	NA	NA	0.0398	NA	NA	NA	NA	NA
