N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	5.2	0.0256	0	0.0398	NA	0	linear	1	Yes	snail	Mandarina_chichijiman
30	5.7	0.0256	960	NA	NA	0.00096	NA	NA	NA	NA	NA
30	7.72	0.04	1550	NA	NA	0.00155	NA	NA	NA	NA	NA
30	5.69	0.0196	1980	NA	NA	0.00198	NA	NA	NA	NA	NA
13	5.63	0.0324	5960	NA	NA	0.00596	NA	NA	NA	NA	NA
14	5.66	0.0256	12300	NA	NA	0.0123	NA	NA	NA	NA	NA
12	5.62	0.0225	16700	NA	NA	0.0167	NA	NA	NA	NA	NA
14	5.8	0.0361	18230	NA	NA	0.01823	NA	NA	NA	NA	NA
17	5.83	0.0441	22300	NA	NA	0.0223	NA	NA	NA	NA	NA
12	5.04	0.01	24800	NA	NA	0.0248	NA	NA	NA	NA	NA
20	4.88	0.0441	26600	NA	NA	0.0266	NA	NA	NA	NA	NA
20	4.78	0.0169	30100	NA	NA	0.0301	NA	NA	NA	NA	NA
20	4.82	0.0169	32400	NA	NA	0.0324	NA	NA	NA	NA	NA
14	4.78	0.0529	33600	NA	NA	0.0336	NA	NA	NA	NA	NA
15	4.71	0.0529	39800	NA	NA	0.0398	NA	NA	NA	NA	NA
