N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	1.78	0.0361	0	0.0398	NA	0	linear	1	Yes	snail	Mandarina_chichijiman
30	2.66	0.0576	960	NA	NA	0.00096	NA	NA	NA	NA	NA
30	2.5	0.0289	1550	NA	NA	0.00155	NA	NA	NA	NA	NA
30	2.57	0.0225	1980	NA	NA	0.00198	NA	NA	NA	NA	NA
13	2.63	0.0361	5960	NA	NA	0.00596	NA	NA	NA	NA	NA
14	2.64	0.0196	12300	NA	NA	0.0123	NA	NA	NA	NA	NA
12	2.66	0.0256	16700	NA	NA	0.0167	NA	NA	NA	NA	NA
14	2.68	0.0529	18230	NA	NA	0.01823	NA	NA	NA	NA	NA
17	2.65	0.0324	22300	NA	NA	0.0223	NA	NA	NA	NA	NA
12	1.96	0.0144	24800	NA	NA	0.0248	NA	NA	NA	NA	NA
20	1.87	0.0225	26600	NA	NA	0.0266	NA	NA	NA	NA	NA
20	1.88	0.0441	30100	NA	NA	0.0301	NA	NA	NA	NA	NA
20	1.92	0.01	32400	NA	NA	0.0324	NA	NA	NA	NA	NA
14	1.87	0.0324	33600	NA	NA	0.0336	NA	NA	NA	NA	NA
15	1.88	0.0361	39800	NA	NA	0.0398	NA	NA	NA	NA	NA
