N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	1.09	0.0169	0	0.0398	NA	0	linear	1	Yes	snail	Mandarina_chichijiman
30	1	0.0064	960	NA	NA	0.00096	NA	NA	NA	NA	NA
30	1.1	0.0081	1550	NA	NA	0.00155	NA	NA	NA	NA	NA
30	0.92	0.0064	1980	NA	NA	0.00198	NA	NA	NA	NA	NA
13	0.97	0.0049	5960	NA	NA	0.00596	NA	NA	NA	NA	NA
14	1.08	0.01	12300	NA	NA	0.0123	NA	NA	NA	NA	NA
12	1.1	0.0064	16700	NA	NA	0.0167	NA	NA	NA	NA	NA
14	1.14	0.0196	18230	NA	NA	0.01823	NA	NA	NA	NA	NA
17	1.16	0.0324	22300	NA	NA	0.0223	NA	NA	NA	NA	NA
12	1.42	0.0049	24800	NA	NA	0.0248	NA	NA	NA	NA	NA
20	1.45	0.0225	26600	NA	NA	0.0266	NA	NA	NA	NA	NA
20	1.48	0.0484	30100	NA	NA	0.0301	NA	NA	NA	NA	NA
20	1.54	0.0016	32400	NA	NA	0.0324	NA	NA	NA	NA	NA
14	1.43	0.0441	33600	NA	NA	0.0336	NA	NA	NA	NA	NA
15	1.44	0.0196	39800	NA	NA	0.0398	NA	NA	NA	NA	NA
