N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	23.9	1.2769	0	0.0398	NA	0	linear	1	Yes	snail	Mandarina_chichijiman
30	23.8	0.6724	960	NA	NA	0.00096	NA	NA	NA	NA	NA
30	24	0.7225	1550	NA	NA	0.00155	NA	NA	NA	NA	NA
30	23.6	0.5329	1980	NA	NA	0.00198	NA	NA	NA	NA	NA
13	24.1	0.5625	5960	NA	NA	0.00596	NA	NA	NA	NA	NA
14	25.5	0.6889	12300	NA	NA	0.0123	NA	NA	NA	NA	NA
12	25.3	1.1025	16700	NA	NA	0.0167	NA	NA	NA	NA	NA
14	26.5	1.0609	18230	NA	NA	0.01823	NA	NA	NA	NA	NA
17	28.3	0.8464	22300	NA	NA	0.0223	NA	NA	NA	NA	NA
12	27.7	0.7056	24800	NA	NA	0.0248	NA	NA	NA	NA	NA
20	28.2	0.7744	26600	NA	NA	0.0266	NA	NA	NA	NA	NA
20	27.9	0.5625	30100	NA	NA	0.0301	NA	NA	NA	NA	NA
20	28	0.8464	32400	NA	NA	0.0324	NA	NA	NA	NA	NA
14	28.4	1.7956	33600	NA	NA	0.0336	NA	NA	NA	NA	NA
15	27	3.1329	39800	NA	NA	0.0398	NA	NA	NA	NA	NA
