#Chiba 1998 M. io-hirasei AHW											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	2.72	0.03374569	39.89	0.03882	0.001	0	linear	1	Yes	snail	Mandarina_io-hirasei
6	2.71	0.01485961	34.09	NA	NA	0.00797	NA	NA	NA	NA	NA
15	2.63	0.028375403	31.92	NA	NA	0.00988	NA	NA	NA	NA	NA
15	2.66	0.01677025	30.01	NA	NA	0.01313	NA	NA	NA	NA	NA
15	2.71	0.025328723	26.76	NA	NA	0.01793	NA	NA	NA	NA	NA
6	2.65	0.02752281	21.96	NA	NA	0.02183	NA	NA	NA	NA	NA
6	2.57	0.008199302	18.06	NA	NA	0.03392	NA	NA	NA	NA	NA
7	2.56	0.015067563	5.97	NA	NA	0.03733	NA	NA	NA	NA	NA
11	2.57	0.006880702	2.56	NA	NA	0.0378	NA	NA	NA	NA	NA
8	2.64	0.01324801	2.09	NA	NA	0.03882	NA	NA	NA	NA	NA
25	2.61	0.014244423	1.07	NA	NA	0.03989	NA	NA	NA	NA	NA
