#Chiba 1998 M. io-hirasei W											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	27.96	0.896809	39.85	0.03875	0.001	0	linear	1	Yes	snail	Mandarina_io-hirasei
6	28.83	1.46773225	34.04	NA	NA	0.00581	NA	NA	NA	NA	NA
15	29	1.290496	32.03	NA	NA	0.00782	NA	NA	NA	NA	NA
15	28.18	0.896809	30.11	NA	NA	0.00974	NA	NA	NA	NA	NA
15	28.66	1.658944	26.97	NA	NA	0.01288	NA	NA	NA	NA	NA
6	25.97	0.96924025	22.05	NA	NA	0.0178	NA	NA	NA	NA	NA
6	21.53	0.633616	18.21	NA	NA	0.02164	NA	NA	NA	NA	NA
7	20.71	1.290496	6.11	NA	NA	0.03374	NA	NA	NA	NA	NA
11	20.74	0.826281	2.54	NA	NA	0.03731	NA	NA	NA	NA	NA
8	21.27	0.970225	2	NA	NA	0.03785	NA	NA	NA	NA	NA
25	20.98	1.046529	1.1	NA	NA	0.03875	NA	NA	NA	NA	NA
