#Chiba 1998 M. luhuana AHW											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
6	3.03	0.03069504	39.87	0.03882	0.001000258	0	linear	1	Yes	snail	Mandarina_luhuana
15	3.11	0.034058703	31.89	NA	NA	0.007982056	NA	NA	NA	NA	NA
15	3.11	0.037888623	29.98	NA	NA	0.009892548	NA	NA	NA	NA	NA
9	3.09	0.03500641	26.96	NA	NA	0.012913326	NA	NA	NA	NA	NA
9	3.1	0.04656964	21.9	NA	NA	0.01797463	NA	NA	NA	NA	NA
6	3.26	0.03250809	18.03	NA	NA	0.021845627	NA	NA	NA	NA	NA
9	3.23	0.03822025	6.06	NA	NA	0.033818712	NA	NA	NA	NA	NA
20	3.27	0.02752281	2.62	NA	NA	0.037259598	NA	NA	NA	NA	NA
20	3.32	0.031595063	1.94	NA	NA	0.037939773	NA	NA	NA	NA	NA
20	3.21	0.065356923	1.06	NA	NA	0.03882	NA	NA	NA	NA	NA
