#Chiba 1998 M. luhuana W											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
6	47.58	2.778889	39.89	0.03892	0.001	0	linear	1	Yes	snail	Mandarina_luhuana
15	49.76	4.995225	31.93	NA	NA	0.00796	NA	NA	NA	NA	NA
15	48.86	5.517801	30.04	NA	NA	0.00985	NA	NA	NA	NA	NA
9	49.49	3.8809	26.98	NA	NA	0.01291	NA	NA	NA	NA	NA
9	51.65	4.995225	21.98	NA	NA	0.01791	NA	NA	NA	NA	NA
6	51.53	1.658944	18.05	NA	NA	0.02184	NA	NA	NA	NA	NA
9	42.68	0.69472225	5.97	NA	NA	0.03392	NA	NA	NA	NA	NA
20	42.41	3.305124	2.5	NA	NA	0.03739	NA	NA	NA	NA	NA
20	42.41	4.995225	1.96	NA	NA	0.03793	NA	NA	NA	NA	NA
20	41.66	3.444736	0.97	NA	NA	0.03892	NA	NA	NA	NA	NA
