 N	mm	vv	age.gene.hunt	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
3	0.146	0.001849	2.829	1520	1.944	0.0027	0	ratio	1	Yes	mammal	Cantius_chronospecies
14	0.171	0.001089	2.848	1530	NA	NA	0.027	NA	NA	NA	NA	NA
14	0.167	0.000676	2.857	1535	NA	NA	0.0405	NA	NA	NA	NA	NA
2	0.164	0.001849	2.885	1550	NA	NA	0.081	NA	NA	NA	NA	NA
4	0.218	0.000676	2.894	1555	NA	NA	0.0945	NA	NA	NA	NA	NA
1	0.198	0.001849	2.903	1560	NA	NA	0.108	NA	NA	NA	NA	NA
24	0.164	0.002601	2.922	1570	NA	NA	0.135	NA	NA	NA	NA	NA
10	0.166	0.001225	2.959	1590	NA	NA	0.189	NA	NA	NA	NA	NA
3	0.173	0.001849	2.978	1600	NA	NA	0.216	NA	NA	NA	NA	NA
4	0.148	0.000625	2.996	1610	NA	NA	0.243	NA	NA	NA	NA	NA
2	0.19	0.001849	3.015	1620	NA	NA	0.27	NA	NA	NA	NA	NA
11	0.18	0.002916	3.034	1630	NA	NA	0.297	NA	NA	NA	NA	NA
1	0.198	0.001849	3.043	1635	NA	NA	0.3105	NA	NA	NA	NA	NA
33	0.177	0.002025	3.062	1645	NA	NA	0.3375	NA	NA	NA	NA	NA
39	0.194	0.001764	3.099	1665	NA	NA	0.3915	NA	NA	NA	NA	NA
6	0.173	0.001225	3.145	1690	NA	NA	0.459	NA	NA	NA	NA	NA
1	0.137	0.001849	3.155	1695	NA	NA	0.4725	NA	NA	NA	NA	NA
27	0.192	0.002601	3.164	1700	NA	NA	0.486	NA	NA	NA	NA	NA
36	0.173	0.002025	3.201	1720	NA	NA	0.54	NA	NA	NA	NA	NA
3	0.181	0.001849	3.238	1740	NA	NA	0.594	NA	NA	NA	NA	NA
58	0.156	0.002116	3.257	1750	NA	NA	0.621	NA	NA	NA	NA	NA
66	0.166	0.002916	3.276	1760	NA	NA	0.648	NA	NA	NA	NA	NA
1	0.182	0.001849	3.369	1810	NA	NA	0.783	NA	NA	NA	NA	NA
3	0.157	0.001849	3.378	1815	NA	NA	0.7965	NA	NA	NA	NA	NA
6	0.189	0.0009	3.425	1840	NA	NA	0.864	NA	NA	NA	NA	NA
13	0.149	0.001089	3.443	1850	NA	NA	0.891	NA	NA	NA	NA	NA
1	0.255	0.001849	3.462	1860	NA	NA	0.918	NA	NA	NA	NA	NA
2	0.165	0.001849	3.48	1870	NA	NA	0.945	NA	NA	NA	NA	NA
4	0.153	0.002304	3.527	1895	NA	NA	1.0125	NA	NA	NA	NA	NA
1	0.167	0.001849	3.564	1915	NA	NA	1.0665	NA	NA	NA	NA	NA
1	0.206	0.001849	3.601	1935	NA	NA	1.1205	NA	NA	NA	NA	NA
11	0.171	0.000961	3.666	1970	NA	NA	1.215	NA	NA	NA	NA	NA
3	0.209	0.001849	3.713	1995	NA	NA	1.2825	NA	NA	NA	NA	NA
3	0.179	0.001849	3.732	2005	NA	NA	1.3095	NA	NA	NA	NA	NA
2	0.168	0.001849	3.76	2020	NA	NA	1.35	NA	NA	NA	NA	NA
20	0.195	0.001764	3.815	2050	NA	NA	1.431	NA	NA	NA	NA	NA
5	0.201	0.000049	3.843	2065	NA	NA	1.4715	NA	NA	NA	NA	NA
10	0.19	0.001089	3.899	2095	NA	NA	1.5525	NA	NA	NA	NA	NA
2	0.217	0.001849	3.927	2110	NA	NA	1.593	NA	NA	NA	NA	NA
1	0.137	0.001849	4.169	2240	NA	NA	1.944	NA	NA	NA	NA	NA
