N	mm	vv	age.gene.hunt	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
3	1.23	0.001444	2.829	1520	1.944	0.0027	0	length	1	Yes	mammal	Cantius_chronospecies
14	1.29	0.002601	2.848	1530	NA	NA	0.027	NA	NA	NA	NA	NA
14	1.31	0.002704	2.857	1535	NA	NA	0.0405	NA	NA	NA	NA	NA
2	1.28	0.001444	2.885	1550	NA	NA	0.081	NA	NA	NA	NA	NA
4	1.27	0.000196	2.894	1555	NA	NA	0.0945	NA	NA	NA	NA	NA
1	1.36	0.001444	2.903	1560	NA	NA	0.108	NA	NA	NA	NA	NA
24	1.31	0.001444	2.922	1570	NA	NA	0.135	NA	NA	NA	NA	NA
10	1.33	0.001521	2.959	1590	NA	NA	0.189	NA	NA	NA	NA	NA
3	1.33	0.001444	2.978	1600	NA	NA	0.216	NA	NA	NA	NA	NA
4	1.33	0.0009	2.996	1610	NA	NA	0.243	NA	NA	NA	NA	NA
2	1.32	0.001444	3.015	1620	NA	NA	0.27	NA	NA	NA	NA	NA
11	1.28	0.001089	3.034	1630	NA	NA	0.297	NA	NA	NA	NA	NA
1	1.36	0.001444	3.043	1635	NA	NA	0.3105	NA	NA	NA	NA	NA
33	1.32	0.001225	3.062	1645	NA	NA	0.3375	NA	NA	NA	NA	NA
39	1.35	0.001849	3.099	1665	NA	NA	0.3915	NA	NA	NA	NA	NA
6	1.36	0.0009	3.145	1690	NA	NA	0.459	NA	NA	NA	NA	NA
1	1.36	0.001444	3.155	1695	NA	NA	0.4725	NA	NA	NA	NA	NA
27	1.37	0.0016	3.164	1700	NA	NA	0.486	NA	NA	NA	NA	NA
36	1.36	0.0009	3.201	1720	NA	NA	0.54	NA	NA	NA	NA	NA
3	1.39	0.001444	3.238	1740	NA	NA	0.594	NA	NA	NA	NA	NA
58	1.39	0.002025	3.257	1750	NA	NA	0.621	NA	NA	NA	NA	NA
66	1.4	0.001444	3.276	1760	NA	NA	0.648	NA	NA	NA	NA	NA
1	1.44	0.001444	3.369	1810	NA	NA	0.783	NA	NA	NA	NA	NA
3	1.42	0.001444	3.378	1815	NA	NA	0.7965	NA	NA	NA	NA	NA
6	1.45	0.001089	3.425	1840	NA	NA	0.864	NA	NA	NA	NA	NA
13	1.44	0.000676	3.443	1850	NA	NA	0.891	NA	NA	NA	NA	NA
1	1.39	0.001444	3.462	1860	NA	NA	0.918	NA	NA	NA	NA	NA
2	1.46	0.001444	3.48	1870	NA	NA	0.945	NA	NA	NA	NA	NA
4	1.44	0.001225	3.527	1895	NA	NA	1.0125	NA	NA	NA	NA	NA
1	1.36	0.001444	3.564	1915	NA	NA	1.0665	NA	NA	NA	NA	NA
1	1.46	0.001444	3.601	1935	NA	NA	1.1205	NA	NA	NA	NA	NA
11	1.44	0.001225	3.666	1970	NA	NA	1.215	NA	NA	NA	NA	NA
3	1.49	0.001444	3.713	1995	NA	NA	1.2825	NA	NA	NA	NA	NA
3	1.45	0.001444	3.732	2005	NA	NA	1.3095	NA	NA	NA	NA	NA
2	1.45	0.001444	3.76	2020	NA	NA	1.35	NA	NA	NA	NA	NA
20	1.47	0.000784	3.815	2050	NA	NA	1.431	NA	NA	NA	NA	NA
5	1.48	0.001024	3.843	2065	NA	NA	1.4715	NA	NA	NA	NA	NA
10	1.45	0.001936	3.899	2095	NA	NA	1.5525	NA	NA	NA	NA	NA
2	1.47	0.001444	3.927	2110	NA	NA	1.593	NA	NA	NA	NA	NA
1	1.53	0.001444	4.169	2240	NA	NA	1.944	NA	NA	NA	NA	NA
