N	mm	vv	age.gene.hunt	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
3	1.09	0.002916	2.829	1520	1.944	0.0027	0	ratio	1	yes	mammal	Cantius_chronospecies
14	1.12	0.002704	2.848	1530	NA	NA	0.027	NA	NA	NA	NA	NA
14	1.14	0.003025	2.857	1535	NA	NA	0.0405	NA	NA	NA	NA	NA
2	1.12	0.002916	2.885	1550	NA	NA	0.081	NA	NA	NA	NA	NA
4	1.06	0.000324	2.894	1555	NA	NA	0.0945	NA	NA	NA	NA	NA
1	1.16	0.002916	2.903	1560	NA	NA	0.108	NA	NA	NA	NA	NA
24	1.14	0.002704	2.922	1570	NA	NA	0.135	NA	NA	NA	NA	NA
10	1.16	0.001936	2.959	1590	NA	NA	0.189	NA	NA	NA	NA	NA
3	1.15	0.002916	2.978	1600	NA	NA	0.216	NA	NA	NA	NA	NA
4	1.19	0.000225	2.996	1610	NA	NA	0.243	NA	NA	NA	NA	NA
2	1.13	0.002916	3.015	1620	NA	NA	0.27	NA	NA	NA	NA	NA
11	1.1	0.004624	3.034	1630	NA	NA	0.297	NA	NA	NA	NA	NA
1	1.16	0.002916	3.043	1635	NA	NA	0.3105	NA	NA	NA	NA	NA
33	1.14	0.003721	3.062	1645	NA	NA	0.3375	NA	NA	NA	NA	NA
39	1.15	0.003025	3.099	1665	NA	NA	0.3915	NA	NA	NA	NA	NA
6	1.18	0.002116	3.145	1690	NA	NA	0.459	NA	NA	NA	NA	NA
1	1.22	0.002916	3.155	1695	NA	NA	0.4725	NA	NA	NA	NA	NA
27	1.18	0.002916	3.164	1700	NA	NA	0.486	NA	NA	NA	NA	NA
36	1.19	0.002209	3.201	1720	NA	NA	0.54	NA	NA	NA	NA	NA
3	1.21	0.002916	3.238	1740	NA	NA	0.594	NA	NA	NA	NA	NA
58	1.23	0.003721	3.257	1750	NA	NA	0.621	NA	NA	NA	NA	NA
66	1.24	0.003481	3.276	1760	NA	NA	0.648	NA	NA	NA	NA	NA
1	1.25	0.002916	3.369	1810	NA	NA	0.783	NA	NA	NA	NA	NA
3	1.26	0.002916	3.378	1815	NA	NA	0.7965	NA	NA	NA	NA	NA
6	1.26	0.002401	3.425	1840	NA	NA	0.864	NA	NA	NA	NA	NA
13	1.29	0.001296	3.443	1850	NA	NA	0.891	NA	NA	NA	NA	NA
1	1.13	0.002916	3.462	1860	NA	NA	0.918	NA	NA	NA	NA	NA
2	1.29	0.002809	3.48	1870	NA	NA	0.945	NA	NA	NA	NA	NA
4	1.29	0.002304	3.527	1895	NA	NA	1.0125	NA	NA	NA	NA	NA
1	1.19	0.002916	3.564	1915	NA	NA	1.0665	NA	NA	NA	NA	NA
1	1.25	0.002916	3.601	1935	NA	NA	1.1205	NA	NA	NA	NA	NA
11	1.27	0.001444	3.666	1970	NA	NA	1.215	NA	NA	NA	NA	NA
3	1.28	0.002916	3.713	1995	NA	NA	1.2825	NA	NA	NA	NA	NA
3	1.27	0.002916	3.732	2005	NA	NA	1.3095	NA	NA	NA	NA	NA
2	1.28	0.002916	3.76	2020	NA	NA	1.35	NA	NA	NA	NA	NA
20	1.28	0.002304	3.815	2050	NA	NA	1.431	NA	NA	NA	NA	NA
5	1.28	0.001521	3.843	2065	NA	NA	1.4715	NA	NA	NA	NA	NA
10	1.26	0.002116	3.899	2095	NA	NA	1.5525	NA	NA	NA	NA	NA
2	1.25	0.002916	3.927	2110	NA	NA	1.593	NA	NA	NA	NA	NA
1	1.41	0.002916	4.169	2240	NA	NA	1.944	NA	NA	NA	NA	NA
