N	mm	vv	level	stratigraphy	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	0.382	0.0054	0	1924	0.2	0.02	0	linear	1	no	foram	Orbitoides
19	0.395	0.003724	1	1923	NA	NA	0.02	NA	NA	NA	NA	NA
17	0.399	0.007497	2	1922	NA	NA	0.04	NA	NA	NA	NA	NA
20	0.384	0.00338	3	1921	NA	NA	0.06	NA	NA	NA	NA	NA
18	0.413	0.004608	4	1920	NA	NA	0.08	NA	NA	NA	NA	NA
29	0.412	0.004176	5	1919	NA	NA	0.1	NA	NA	NA	NA	NA
19	0.378	0.005491	6	1918	NA	NA	0.12	NA	NA	NA	NA	NA
23	0.424	0.004508	7	1917	NA	NA	0.14	NA	NA	NA	NA	NA
18	0.415	0.002592	8	1916	NA	NA	0.16	NA	NA	NA	NA	NA
32	0.425	0.003872	9	1915	NA	NA	0.18	NA	NA	NA	NA	NA
23	0.318	0.0023	10	1914	NA	NA	0.2	NA	NA	NA	NA	NA
