N	mm	vv	level	stratigraphy	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
16	0.3766	0.0049	0	2160	0.28	0.011666667	0	linear	1	no	foram	Orbitoides
22	0.4147	0.00306328	1	2159	NA	NA	0.011666667	NA	NA	NA	NA	NA
19	0.3704	0.00542659	2	2158	NA	NA	0.023333333	NA	NA	NA	NA	NA
22	0.3827	0.00449878	3	2157	NA	NA	0.035	NA	NA	NA	NA	NA
27	0.3909	0.00544428	4	2156	NA	NA	0.046666667	NA	NA	NA	NA	NA
14	0.3936	0.00423864	5	2155	NA	NA	0.058333333	NA	NA	NA	NA	NA
22	0.3981	0.00495	6	2154	NA	NA	0.07	NA	NA	NA	NA	NA
22	0.382	0.00501622	7	2152	NA	NA	0.093333333	NA	NA	NA	NA	NA
24	0.3888	0.00393216	8	2151	NA	NA	0.105	NA	NA	NA	NA	NA
20	0.3618	0.0034848	9	2150	NA	NA	0.116666667	NA	NA	NA	NA	NA
22	0.393	0.00395032	10	2148	NA	NA	0.14	NA	NA	NA	NA	NA
6	0.423	0.00602934	11	2145	NA	NA	0.175	NA	NA	NA	NA	NA
24	0.4265	0.00269664	12	2144	NA	NA	0.186666667	NA	NA	NA	NA	NA
17	0.3714	0.00538628	13	2143	NA	NA	0.198333333	NA	NA	NA	NA	NA
16	0.3544	0.00341056	14	2141	NA	NA	0.221666667	NA	NA	NA	NA	NA
23	0.3225	0.00273263	15	2140	NA	NA	0.233333333	NA	NA	NA	NA	NA
26	0.3082	0.0026	16	2138	NA	NA	0.256666667	NA	NA	NA	NA	NA
27	0.3114	0.00186003	17	2137	NA	NA	0.268333333	NA	NA	NA	NA	NA
21	0.3215	0.00086016	18	2136	NA	NA	0.28	NA	NA	NA	NA	NA
