N	mm	vv	level	stratigraphy	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
28	40.8	135.52	0	1924	0.2	0.02	0	linear	1	no	foram	Orbitoides
31	41	79.36	1	1923	NA	NA	0.02	NA	NA	NA	NA	NA
25	45.9	156.25	2	1922	NA	NA	0.04	NA	NA	NA	NA	NA
24	39	96	3	1921	NA	NA	0.06	NA	NA	NA	NA	NA
22	42.5	71.28	4	1920	NA	NA	0.08	NA	NA	NA	NA	NA
37	44.8	163.17	5	1919	NA	NA	0.1	NA	NA	NA	NA	NA
23	45.6	221.03	6	1918	NA	NA	0.12	NA	NA	NA	NA	NA
26	46.1	283.14	7	1917	NA	NA	0.14	NA	NA	NA	NA	NA
18	44.8	141.12	8	1916	NA	NA	0.16	NA	NA	NA	NA	NA
32	39.6	72	9	1915	NA	NA	0.18	NA	NA	NA	NA	NA
26	36.6	43.94	10	1914	NA	NA	0.2	NA	NA	NA	NA	NA
