N	mm	vv	level	stratigraphy	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	36.6	49.5	0	2160	0.28	0.011666667	0	linear	1	no	foram	Orbitoides
29	37.1	66.1229	1	2159	NA	NA	0.011666667	NA	NA	NA	NA	NA
26	31.7	52.4264	2	2158	NA	NA	0.023333333	NA	NA	NA	NA	NA
25	36.4	64	3	2157	NA	NA	0.035	NA	NA	NA	NA	NA
33	36.3	34.3332	4	2156	NA	NA	0.046666667	NA	NA	NA	NA	NA
21	36.8	54.4341	5	2155	NA	NA	0.058333333	NA	NA	NA	NA	NA
28	36	49.5292	6	2154	NA	NA	0.07	NA	NA	NA	NA	NA
26	32.7	83.3066	7	2152	NA	NA	0.093333333	NA	NA	NA	NA	NA
26	34.3	75.14	8	2151	NA	NA	0.105	NA	NA	NA	NA	NA
30	33.2	67.5	9	2150	NA	NA	0.116666667	NA	NA	NA	NA	NA
27	37.3	68.2587	10	2148	NA	NA	0.14	NA	NA	NA	NA	NA
10	46.3	51.529	11	2145	NA	NA	0.175	NA	NA	NA	NA	NA
25	40.6	79.21	12	2144	NA	NA	0.186666667	NA	NA	NA	NA	NA
19	36.6	62.2459	13	2143	NA	NA	0.198333333	NA	NA	NA	NA	NA
23	35	48.3575	14	2141	NA	NA	0.221666667	NA	NA	NA	NA	NA
24	34.6	69.36	15	2140	NA	NA	0.233333333	NA	NA	NA	NA	NA
29	35.7	78.9525	16	2138	NA	NA	0.256666667	NA	NA	NA	NA	NA
29	33.9	67.0016	17	2137	NA	NA	0.268333333	NA	NA	NA	NA	NA
26	34.1	54.665	18	2136	NA	NA	0.28	NA	NA	NA	NA	NA
