N	mm	vv	level	stratigraphy	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	6.21	3.6504	0	1924	0.2	0.02	0	linear	1	no	foram	Orbitoides
19	6.16	2.3275	1	1923	NA	NA	0.02	NA	NA	NA	NA	NA
17	6.67	4.7753	2	1922	NA	NA	0.04	NA	NA	NA	NA	NA
20	5.8	2.312	3	1921	NA	NA	0.06	NA	NA	NA	NA	NA
18	6.78	2.3328	4	1920	NA	NA	0.08	NA	NA	NA	NA	NA
29	6.62	2.7869	5	1919	NA	NA	0.1	NA	NA	NA	NA	NA
19	6.58	5.5404	6	1918	NA	NA	0.12	NA	NA	NA	NA	NA
23	6.61	3.4983	7	1917	NA	NA	0.14	NA	NA	NA	NA	NA
18	7.44	5.8482	8	1916	NA	NA	0.16	NA	NA	NA	NA	NA
32	6.75	2.5088	9	1915	NA	NA	0.18	NA	NA	NA	NA	NA
23	4.22	0.1863	10	1914	NA	NA	0.2	NA	NA	NA	NA	NA
