N	mm	vv	level	stratigraphy	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
16	5.56	3.069504	0	2160	0.28	0.011666667	0	linear	1	no	foram	Orbitoides
22	6.82	2.819608	1	2159	NA	NA	0.011666667	NA	NA	NA	NA	NA
19	4.89	1.982251	2	2158	NA	NA	0.023333333	NA	NA	NA	NA	NA
22	5.68	1.749528	3	2157	NA	NA	0.035	NA	NA	NA	NA	NA
27	5.93	2.462508	4	2156	NA	NA	0.046666667	NA	NA	NA	NA	NA
14	5.86	1.362816	5	2155	NA	NA	0.058333333	NA	NA	NA	NA	NA
22	6	2.947032	6	2154	NA	NA	0.07	NA	NA	NA	NA	NA
22	5.59	2.3958	7	2152	NA	NA	0.093333333	NA	NA	NA	NA	NA
24	5.63	2.597784	8	2151	NA	NA	0.105	NA	NA	NA	NA	NA
20	5.1	1.458	9	2150	NA	NA	0.116666667	NA	NA	NA	NA	NA
22	5.68	2.710422	10	2148	NA	NA	0.14	NA	NA	NA	NA	NA
6	6.33	1.868184	11	2145	NA	NA	0.175	NA	NA	NA	NA	NA
24	6.5	1.5606	12	2144	NA	NA	0.186666667	NA	NA	NA	NA	NA
17	5.76	2.314737	13	2143	NA	NA	0.198333333	NA	NA	NA	NA	NA
16	4.38	0.781456	14	2141	NA	NA	0.221666667	NA	NA	NA	NA	NA
23	4.09	0.4508	15	2140	NA	NA	0.233333333	NA	NA	NA	NA	NA
26	4.15	0.699296	16	2138	NA	NA	0.256666667	NA	NA	NA	NA	NA
27	4.37	0.934092	17	2137	NA	NA	0.268333333	NA	NA	NA	NA	NA
21	4.2	0.3024	18	2136	NA	NA	0.28	NA	NA	NA	NA	NA
