N	mm	vv	level	stratigraphy	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
28	1.33	0.028672	0	1924	0.2	0.02	0	linear	1	no	foram	Orbitoides
31	1.34	0.035836	1	1923	NA	NA	0.02	NA	NA	NA	NA	NA
25	1.4	0.0324	2	1922	NA	NA	0.04	NA	NA	NA	NA	NA
24	1.44	0.044376	3	1921	NA	NA	0.06	NA	NA	NA	NA	NA
22	1.33	0.033462	4	1920	NA	NA	0.08	NA	NA	NA	NA	NA
37	1.41	0.053428	5	1919	NA	NA	0.1	NA	NA	NA	NA	NA
23	1.28	0.050807	6	1918	NA	NA	0.12	NA	NA	NA	NA	NA
26	1.44	0.162266	7	1917	NA	NA	0.14	NA	NA	NA	NA	NA
18	1.42	0.155682	8	1916	NA	NA	0.16	NA	NA	NA	NA	NA
32	1.37	0.025088	9	1915	NA	NA	0.18	NA	NA	NA	NA	NA
26	1.35	0.028314	10	1914	NA	NA	0.2	NA	NA	NA	NA	NA
