N	mm	vv	level	stratigraphy	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	1.28	0.007128	0	2160	0.28	0.011666667	0	linear	1	no	foram	Orbitoides
29	1.35	0.053621	1	2159	NA	NA	0.011666667	NA	NA	NA	NA	NA
26	1.36	0.030056	2	2158	NA	NA	0.023333333	NA	NA	NA	NA	NA
25	1.33	0.0225	3	2157	NA	NA	0.035	NA	NA	NA	NA	NA
33	1.45	0.069828	4	2156	NA	NA	0.046666667	NA	NA	NA	NA	NA
21	1.32	0.015309	5	2155	NA	NA	0.058333333	NA	NA	NA	NA	NA
28	1.35	0.0252	6	2154	NA	NA	0.07	NA	NA	NA	NA	NA
26	1.28	0.030056	7	2152	NA	NA	0.093333333	NA	NA	NA	NA	NA
26	1.32	0.05265	8	2151	NA	NA	0.105	NA	NA	NA	NA	NA
30	1.34	0.02187	9	2150	NA	NA	0.116666667	NA	NA	NA	NA	NA
27	1.35	0.0243	10	2148	NA	NA	0.14	NA	NA	NA	NA	NA
10	1.31	0.00676	11	2145	NA	NA	0.175	NA	NA	NA	NA	NA
25	1.32	0.0289	12	2144	NA	NA	0.186666667	NA	NA	NA	NA	NA
19	1.34	0.028899	13	2143	NA	NA	0.198333333	NA	NA	NA	NA	NA
23	1.35	0.038663	14	2141	NA	NA	0.221666667	NA	NA	NA	NA	NA
24	1.34	0.026136	15	2140	NA	NA	0.233333333	NA	NA	NA	NA	NA
29	1.33	0.010469	16	2138	NA	NA	0.256666667	NA	NA	NA	NA	NA
29	1.28	0.014036	17	2137	NA	NA	0.268333333	NA	NA	NA	NA	NA
26	1.34	0.017576	18	2136	NA	NA	0.28	NA	NA	NA	NA	NA
