N	mm	vv	level	stratigraphy	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
24	16.13	8.9304	0	1924	0.2	0.02	0	linear	1	no	foram	Orbitoides
19	15.47	6.84	1	1923	NA	NA	0.02	NA	NA	NA	NA	NA
17	17	18.7425	2	1922	NA	NA	0.04	NA	NA	NA	NA	NA
20	15	7.442	3	1921	NA	NA	0.06	NA	NA	NA	NA	NA
18	16.44	7.605	4	1920	NA	NA	0.08	NA	NA	NA	NA	NA
29	16.03	9.0944	5	1919	NA	NA	0.1	NA	NA	NA	NA	NA
19	17.05	13.4064	6	1918	NA	NA	0.12	NA	NA	NA	NA	NA
23	15.57	11.9232	7	1917	NA	NA	0.14	NA	NA	NA	NA	NA
18	17.72	19.845	8	1916	NA	NA	0.16	NA	NA	NA	NA	NA
32	15.81	6.1952	9	1915	NA	NA	0.18	NA	NA	NA	NA	NA
23	13.48	3.4983	10	1914	NA	NA	0.2	NA	NA	NA	NA	NA
