N	mm	vv	level	stratigraphy	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
16	14.8	10.4976	0	2160	0.28	0.011666667	0	linear	1	no	foram	Orbitoides
22	16.3	7.92	1	2159	NA	NA	0.011666667	NA	NA	NA	NA	NA
19	13.2	4.1971	2	2158	NA	NA	0.023333333	NA	NA	NA	NA	NA
22	14.8	4.0678	3	2157	NA	NA	0.035	NA	NA	NA	NA	NA
27	15.1	4.9923	4	2156	NA	NA	0.046666667	NA	NA	NA	NA	NA
14	14.9	4.5486	5	2155	NA	NA	0.058333333	NA	NA	NA	NA	NA
22	15	9.8758	6	2154	NA	NA	0.07	NA	NA	NA	NA	NA
22	14.6	6.4152	7	2152	NA	NA	0.093333333	NA	NA	NA	NA	NA
24	14.5	8.9304	8	2151	NA	NA	0.105	NA	NA	NA	NA	NA
20	14.1	5.202	9	2150	NA	NA	0.116666667	NA	NA	NA	NA	NA
22	14.3	6.8992	10	2148	NA	NA	0.14	NA	NA	NA	NA	NA
6	15	5.1894	11	2145	NA	NA	0.175	NA	NA	NA	NA	NA
24	15.2	4.4376	12	2144	NA	NA	0.186666667	NA	NA	NA	NA	NA
17	15.5	5.9177	13	2143	NA	NA	0.198333333	NA	NA	NA	NA	NA
16	12.5	5.1984	14	2141	NA	NA	0.221666667	NA	NA	NA	NA	NA
23	12.9	4.6575	15	2140	NA	NA	0.233333333	NA	NA	NA	NA	NA
26	13.6	5.265	16	2138	NA	NA	0.256666667	NA	NA	NA	NA	NA
27	14.1	6.4827	17	2137	NA	NA	0.268333333	NA	NA	NA	NA	NA
21	13.1	4.0656	18	2136	NA	NA	0.28	NA	NA	NA	NA	NA
