N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
3	0.035612467	2.23E-05	0	7.25	NA	0	linear	1	no	conodont	Tripodellus_schleizius.gracilis
5	0.05551172	0.000240355	0.62	NA	NA	0.62	NA	NA	NA	NA	NA
7	0.051685943	7.98E-05	0.74	NA	NA	0.74	NA	NA	NA	NA	NA
9	0.067329144	0.000102045	1.06	NA	NA	1.06	NA	NA	NA	NA	NA
5	0.0694101	7.55E-05	2.31	NA	NA	2.31	NA	NA	NA	NA	NA
5	0.07782612	0.000156773	2.51	NA	NA	2.51	NA	NA	NA	NA	NA
10	0.07830248	0.00014026	3.94	NA	NA	3.94	NA	NA	NA	NA	NA
3	0.0728581	0.000188427	4.36	NA	NA	4.36	NA	NA	NA	NA	NA
8	0.083652425	0.000143872	4.56	NA	NA	4.56	NA	NA	NA	NA	NA
2	0.07858895	1.41E-06	4.75	8.25	NA	4.75	NA	NA	NA	NA	NA
8	0.096915725	0.000231841	4.97	NA	NA	4.97	NA	NA	NA	NA	NA
3	0.075447033	0.000317304	5.38	NA	NA	5.38	NA	NA	NA	NA	NA
4	0.101613425	0.00033118	6.01	NA	NA	6.01	NA	NA	NA	NA	NA
3	0.107161933	0.000362146	6.63	NA	NA	6.63	NA	NA	NA	NA	NA
3	0.073403633	3.57E-05	6.72	NA	NA	6.72	NA	NA	NA	NA	NA
5	0.08877568	9.82E-05	6.83	NA	NA	6.83	NA	NA	NA	NA	NA
6	0.0896224	0.000276894	6.93	NA	NA	6.93	NA	NA	NA	NA	NA
7	0.110943529	0.001334157	7.03	NA	NA	7.03	NA	NA	NA	NA	NA
3	0.1010046	0.00045646	7.25	9.25	NA	7.25	NA	NA	NA	NA	NA
