N	mm	vv	 level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	49	49.5	462	0.84	0.003193916	0	linear	1	no	foram	Asterocyclina_stella.taramellii
30	53	67.5	452	NA	NA	0.031939163	NA	NA	NA	NA	NA
21	50	35.49	430	NA	NA	0.102205323	NA	NA	NA	NA	NA
10	51	122.5	423	NA	NA	0.124562738	NA	NA	NA	NA	NA
25	51	25	419	NA	NA	0.137338403	NA	NA	NA	NA	NA
25	53	25	413	NA	NA	0.156501901	NA	NA	NA	NA	NA
22	54	79.42	407	NA	NA	0.175665399	NA	NA	NA	NA	NA
23	54	51.75	402	NA	NA	0.191634981	NA	NA	NA	NA	NA
28	54	28	399	NA	NA	0.20121673	NA	NA	NA	NA	NA
24	52	47.04	377	NA	NA	0.27148289	NA	NA	NA	NA	NA
22	51	63.58	375	NA	NA	0.277870722	NA	NA	NA	NA	NA
20	47	45	374	NA	NA	0.281064639	NA	NA	NA	NA	NA
21	51	60.69	366	NA	NA	0.30661597	NA	NA	NA	NA	NA
24	40	61.44	336	NA	NA	0.40243346	NA	NA	NA	NA	NA
25	37	64	335	NA	NA	0.405627376	NA	NA	NA	NA	NA
26	40	26	331	NA	NA	0.418403042	NA	NA	NA	NA	NA
26	40	50.96	317	NA	NA	0.463117871	NA	NA	NA	NA	NA
27	37	60.75	308	NA	NA	0.491863118	NA	NA	NA	NA	NA
25	38	36	303	NA	NA	0.5078327	NA	NA	NA	NA	NA
25	37	49	294	NA	NA	0.536577947	NA	NA	NA	NA	NA
15	39	66.15	282	NA	NA	0.574904943	NA	NA	NA	NA	NA
15	34	9.6	278	NA	NA	0.587680608	NA	NA	NA	NA	NA
40	35	67.6	276	NA	NA	0.594068441	NA	NA	NA	NA	NA
27	35	38.88	273	NA	NA	0.60365019	NA	NA	NA	NA	NA
15	35	48.6	259	NA	NA	0.648365019	NA	NA	NA	NA	NA
12	31	34.68	234	NA	NA	0.728212928	NA	NA	NA	NA	NA
41	32	26.24	221	NA	NA	0.76973384	NA	NA	NA	NA	NA
18	37	121.68	199	NA	NA	0.84	NA	NA	NA	NA	NA
