N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	106.6	110.3872	462	0.92	0.003498099	0	linear	1	no	foram	Asterocyclina_stella.taramellii
30	107.5	204.363	452	NA	NA	0.034980989	NA	NA	NA	NA	NA
23	96.3	130.2812	430	NA	NA	0.111939163	NA	NA	NA	NA	NA
10	108	180.625	423	NA	NA	0.136425856	NA	NA	NA	NA	NA
25	118.4	171.61	419	NA	NA	0.150418251	NA	NA	NA	NA	NA
25	109.4	146.41	413	NA	NA	0.171406844	NA	NA	NA	NA	NA
21	100	76.6101	407	NA	NA	0.192395437	NA	NA	NA	NA	NA
25	97.6	106.09	402	NA	NA	0.209885932	NA	NA	NA	NA	NA
29	97.8	119.5061	399	NA	NA	0.220380228	NA	NA	NA	NA	NA
25	92.2	104.04	377	NA	NA	0.297338403	NA	NA	NA	NA	NA
25	87.2	136.89	375	NA	NA	0.304334601	NA	NA	NA	NA	NA
20	84.8	84.872	374	NA	NA	0.3078327	NA	NA	NA	NA	NA
23	78.7	138.0575	366	NA	NA	0.33581749	NA	NA	NA	NA	NA
25	82.4	133.4025	336	NA	NA	0.440760456	NA	NA	NA	NA	NA
25	82.2	108.16	335	NA	NA	0.444258555	NA	NA	NA	NA	NA
26	84.4	106.0904	331	NA	NA	0.458250951	NA	NA	NA	NA	NA
26	85.6	97.8536	317	NA	NA	0.507224335	NA	NA	NA	NA	NA
28	81.8	102.1468	308	NA	NA	0.538707224	NA	NA	NA	NA	NA
26	85	88.0256	303	NA	NA	0.556197719	NA	NA	NA	NA	NA
25	82.6	122.1025	294	NA	NA	0.587680608	NA	NA	NA	NA	NA
16	79.7	146.8944	282	NA	NA	0.629657795	NA	NA	NA	NA	NA
15	68.7	108.5415	278	NA	NA	0.64365019	NA	NA	NA	NA	NA
41	71.5	75.8336	276	NA	NA	0.650646388	NA	NA	NA	NA	NA
28	72.9	96.8688	273	NA	NA	0.661140684	NA	NA	NA	NA	NA
15	72.3	63.0375	259	NA	NA	0.710114068	NA	NA	NA	NA	NA
13	73.1	64.0692	234	NA	NA	0.79756654	NA	NA	NA	NA	NA
41	73.8	107.6004	221	NA	NA	0.843041825	NA	NA	NA	NA	NA
19	82.1	158.6899	199	NA	NA	0.92	NA	NA	NA	NA	NA
