N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	135	260.1	407	0.77	0.00308	0	linear	1	no	foram	Discocyc1ina_varians
27	128	522.72	399	NA	NA	0.02464	NA	NA	NA	NA	NA
6	130	464.64	397	NA	NA	0.0308	NA	NA	NA	NA	NA
14	110	487.34	382	NA	NA	0.077	NA	NA	NA	NA	NA
18	105	380.88	366	NA	NA	0.12628	NA	NA	NA	NA	NA
10	113	250	336	NA	NA	0.21868	NA	NA	NA	NA	NA
5	113	405	303	NA	NA	0.32032	NA	NA	NA	NA	NA
22	139	528.22	276	NA	NA	0.40348	NA	NA	NA	NA	NA
68	140	786.08	273	NA	NA	0.41272	NA	NA	NA	NA	NA
20	175	768.8	221	NA	NA	0.57288	NA	NA	NA	NA	NA
15	137	540	199	NA	NA	0.64064	NA	NA	NA	NA	NA
4	113	25	193	NA	NA	0.65912	NA	NA	NA	NA	NA
4	106	121	187	NA	NA	0.6776	NA	NA	NA	NA	NA
4	99	207.36	157	NA	NA	0.77	NA	NA	NA	NA	NA
