N	mm	vv	 level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	165.2	183.7462	462	0.92	0.003498099	0	linear	1	no	foram	Asterocyclina_stella.taramellii
30	170.2	570.288	452	NA	NA	0.034980989	NA	NA	NA	NA	NA
23	150.4	236.9943	430	NA	NA	0.111939163	NA	NA	NA	NA	NA
10	166	275.625	423	NA	NA	0.136425856	NA	NA	NA	NA	NA
25	177.4	265.69	419	NA	NA	0.150418251	NA	NA	NA	NA	NA
25	168.8	299.29	413	NA	NA	0.171406844	NA	NA	NA	NA	NA
23	158.9	283.3623	407	NA	NA	0.192395437	NA	NA	NA	NA	NA
25	154.6	148.84	402	NA	NA	0.209885932	NA	NA	NA	NA	NA
29	150.9	227.36	399	NA	NA	0.220380228	NA	NA	NA	NA	NA
25	145.6	283.9225	377	NA	NA	0.297338403	NA	NA	NA	NA	NA
25	138.8	153.76	375	NA	NA	0.304334601	NA	NA	NA	NA	NA
20	131.3	125	374	NA	NA	0.3078327	NA	NA	NA	NA	NA
22	132.7	146.4408	366	NA	NA	0.33581749	NA	NA	NA	NA	NA
25	131.2	268.96	336	NA	NA	0.440760456	NA	NA	NA	NA	NA
25	126.2	121	335	NA	NA	0.444258555	NA	NA	NA	NA	NA
26	128.6	132.7976	331	NA	NA	0.458250951	NA	NA	NA	NA	NA
26	133.5	148.5146	317	NA	NA	0.507224335	NA	NA	NA	NA	NA
28	128.6	281.3692	308	NA	NA	0.538707224	NA	NA	NA	NA	NA
25	128.8	112.36	303	NA	NA	0.556197719	NA	NA	NA	NA	NA
25	126	163.84	294	NA	NA	0.587680608	NA	NA	NA	NA	NA
16	124.1	106.5024	282	NA	NA	0.629657795	NA	NA	NA	NA	NA
15	110.6	60	278	NA	NA	0.64365019	NA	NA	NA	NA	NA
41	118.6	118.49	276	NA	NA	0.650646388	NA	NA	NA	NA	NA
27	118.1	78.03	273	NA	NA	0.661140684	NA	NA	NA	NA	NA
15	123	106.134	259	NA	NA	0.710114068	NA	NA	NA	NA	NA
13	123.8	99.7477	234	NA	NA	0.79756654	NA	NA	NA	NA	NA
41	120.1	175.6809	221	NA	NA	0.843041825	NA	NA	NA	NA	NA
18	129.7	404.4168	199	NA	NA	0.92	NA	NA	NA	NA	NA
