N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	264	672.4	407	0.77	0.00308	0	linear	1	no	foram	Discocyc1ina_varians
27	284	1728	399	NA	NA	0.02464	NA	NA	NA	NA	NA
6	278	423.36	397	NA	NA	0.0308	NA	NA	NA	NA	NA
14	205	987.84	382	NA	NA	0.077	NA	NA	NA	NA	NA
18	190	1393.92	366	NA	NA	0.12628	NA	NA	NA	NA	NA
10	219	1299.6	336	NA	NA	0.21868	NA	NA	NA	NA	NA
4	221	529	303	NA	NA	0.32032	NA	NA	NA	NA	NA
22	275	1862.08	276	NA	NA	0.40348	NA	NA	NA	NA	NA
68	281	2785.28	273	NA	NA	0.41272	NA	NA	NA	NA	NA
20	352	1729.8	221	NA	NA	0.57288	NA	NA	NA	NA	NA
15	260	1591.35	199	NA	NA	0.64064	NA	NA	NA	NA	NA
4	211	134.56	193	NA	NA	0.65912	NA	NA	NA	NA	NA
4	223	1552.36	187	NA	NA	0.6776	NA	NA	NA	NA	NA
4	181	686.44	157	NA	NA	0.77	NA	NA	NA	NA	NA
