N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	99.5	111.375	462	0.92	0.003498099	0	linear	1	no	foram	Asterocyclina_stella.taramellii
30	100.8	146.523	452	NA	NA	0.034980989	NA	NA	NA	NA	NA
22	91.8	119.4358	430	NA	NA	0.111939163	NA	NA	NA	NA	NA
10	97.5	78.4	423	NA	NA	0.136425856	NA	NA	NA	NA	NA
25	111	161.29	419	NA	NA	0.150418251	NA	NA	NA	NA	NA
25	102.6	122.1025	413	NA	NA	0.171406844	NA	NA	NA	NA	NA
22	95.2	126.72	407	NA	NA	0.192395437	NA	NA	NA	NA	NA
24	93.8	101.8464	402	NA	NA	0.209885932	NA	NA	NA	NA	NA
29	90.8	106.9056	399	NA	NA	0.220380228	NA	NA	NA	NA	NA
25	87.8	104.04	377	NA	NA	0.297338403	NA	NA	NA	NA	NA
25	80.4	84.64	375	NA	NA	0.304334601	NA	NA	NA	NA	NA
20	78.8	59.858	374	NA	NA	0.3078327	NA	NA	NA	NA	NA
23	72.6	83.9063	366	NA	NA	0.33581749	NA	NA	NA	NA	NA
25	74.8	152.5225	336	NA	NA	0.440760456	NA	NA	NA	NA	NA
25	73.6	111.3025	335	NA	NA	0.444258555	NA	NA	NA	NA	NA
26	75.6	74.2586	331	NA	NA	0.458250951	NA	NA	NA	NA	NA
26	79.2	60.8634	317	NA	NA	0.507224335	NA	NA	NA	NA	NA
28	75.2	90.72	308	NA	NA	0.538707224	NA	NA	NA	NA	NA
26	75.8	70.785	303	NA	NA	0.556197719	NA	NA	NA	NA	NA
25	74	51.84	294	NA	NA	0.587680608	NA	NA	NA	NA	NA
16	71.9	79.5664	282	NA	NA	0.629657795	NA	NA	NA	NA	NA
15	66	60.6015	278	NA	NA	0.64365019	NA	NA	NA	NA	NA
40	66.4	73.984	276	NA	NA	0.650646388	NA	NA	NA	NA	NA
27	67	61.5627	273	NA	NA	0.661140684	NA	NA	NA	NA	NA
15	69	25.35	259	NA	NA	0.710114068	NA	NA	NA	NA	NA
13	70.4	62.92	234	NA	NA	0.79756654	NA	NA	NA	NA	NA
41	67.8	63.0416	221	NA	NA	0.843041825	NA	NA	NA	NA	NA
19	76.9	141.6051	199	NA	NA	0.92	NA	NA	NA	NA	NA
