N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	249	302.5	407	0.77	0.00308	0	linear	1	no	foram	Discocyc1ina_varians
27	274	1140.75	399	NA	NA	0.02464	NA	NA	NA	NA	NA
6	268	77.76	397	NA	NA	0.0308	NA	NA	NA	NA	NA
13	224	499.72	382	NA	NA	0.077	NA	NA	NA	NA	NA
18	205	1270.08	366	NA	NA	0.12628	NA	NA	NA	NA	NA
11	248	1235.96	336	NA	NA	0.21868	NA	NA	NA	NA	NA
5	226	551.25	303	NA	NA	0.32032	NA	NA	NA	NA	NA
21	268	1119.09	276	NA	NA	0.40348	NA	NA	NA	NA	NA
67	276	2659.23	273	NA	NA	0.41272	NA	NA	NA	NA	NA
20	317	1344.8	221	NA	NA	0.57288	NA	NA	NA	NA	NA
17	249	1632.68	199	NA	NA	0.64064	NA	NA	NA	NA	NA
4	234	625	193	NA	NA	0.65912	NA	NA	NA	NA	NA
4	200	201.64	187	NA	NA	0.6776	NA	NA	NA	NA	NA
4	194	207.36	157	NA	NA	0.77	NA	NA	NA	NA	NA
