N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	34.5	33.2838	462	0.92	0.003498099	0	linear	1	no	foram	Asterocyclina_stella.taramellii
30	36.7	39.675	452	NA	NA	0.034980989	NA	NA	NA	NA	NA
22	31.6	36.6102	430	NA	NA	0.111939163	NA	NA	NA	NA	NA
10	38.5	77.284	423	NA	NA	0.136425856	NA	NA	NA	NA	NA
25	35	22.5625	419	NA	NA	0.150418251	NA	NA	NA	NA	NA
25	35.2	27.5625	413	NA	NA	0.171406844	NA	NA	NA	NA	NA
21	35.2	25.41	407	NA	NA	0.192395437	NA	NA	NA	NA	NA
24	35.2	35.1384	402	NA	NA	0.209885932	NA	NA	NA	NA	NA
29	32.8	26.1725	399	NA	NA	0.220380228	NA	NA	NA	NA	NA
25	32	20.7025	377	NA	NA	0.297338403	NA	NA	NA	NA	NA
24	29.6	51.8616	375	NA	NA	0.304334601	NA	NA	NA	NA	NA
19	30.5	19	374	NA	NA	0.3078327	NA	NA	NA	NA	NA
20	27.8	19.208	366	NA	NA	0.33581749	NA	NA	NA	NA	NA
21	28.8	24.4944	336	NA	NA	0.440760456	NA	NA	NA	NA	NA
25	28	14.44	335	NA	NA	0.444258555	NA	NA	NA	NA	NA
24	26.9	23.0496	331	NA	NA	0.458250951	NA	NA	NA	NA	NA
24	27.3	23.5224	317	NA	NA	0.507224335	NA	NA	NA	NA	NA
26	25.4	17.4824	308	NA	NA	0.538707224	NA	NA	NA	NA	NA
25	28.4	44.89	303	NA	NA	0.556197719	NA	NA	NA	NA	NA
23	25	18.2183	294	NA	NA	0.587680608	NA	NA	NA	NA	NA
15	25.3	37.446	282	NA	NA	0.629657795	NA	NA	NA	NA	NA
13	23.5	14.0608	278	NA	NA	0.64365019	NA	NA	NA	NA	NA
36	25.5	12.96	276	NA	NA	0.650646388	NA	NA	NA	NA	NA
27	24.1	17.28	273	NA	NA	0.661140684	NA	NA	NA	NA	NA
15	25	21.2415	259	NA	NA	0.710114068	NA	NA	NA	NA	NA
12	27.1	6.5712	234	NA	NA	0.79756654	NA	NA	NA	NA	NA
39	27.1	18.0336	221	NA	NA	0.843041825	NA	NA	NA	NA	NA
18	26.7	20.2248	199	NA	NA	0.92	NA	NA	NA	NA	NA
