N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	16.3	3.52	462	0.92	0.003498099	0	linear	1	no	foram	Asterocyclina_stella.taramellii
30	14.8	2.7	452	NA	NA	0.034980989	NA	NA	NA	NA	NA
20	15.3	1.352	430	NA	NA	0.111939163	NA	NA	NA	NA	NA
10	16	2.209	423	NA	NA	0.136425856	NA	NA	NA	NA	NA
25	16	1.69	419	NA	NA	0.150418251	NA	NA	NA	NA	NA
25	15.9	3.4225	413	NA	NA	0.171406844	NA	NA	NA	NA	NA
20	14.9	3.2	407	NA	NA	0.192395437	NA	NA	NA	NA	NA
20	16.2	2.312	402	NA	NA	0.209885932	NA	NA	NA	NA	NA
29	14.8	3.1581	399	NA	NA	0.220380228	NA	NA	NA	NA	NA
24	14	3.2856	377	NA	NA	0.297338403	NA	NA	NA	NA	NA
22	15	5.9488	375	NA	NA	0.304334601	NA	NA	NA	NA	NA
18	14.6	2.3328	374	NA	NA	0.3078327	NA	NA	NA	NA	NA
17	13.9	2.72	366	NA	NA	0.33581749	NA	NA	NA	NA	NA
19	14.3	2.6011	336	NA	NA	0.440760456	NA	NA	NA	NA	NA
23	14.3	1.9343	335	NA	NA	0.444258555	NA	NA	NA	NA	NA
25	14.4	2.89	331	NA	NA	0.458250951	NA	NA	NA	NA	NA
20	13.6	3.2	317	NA	NA	0.507224335	NA	NA	NA	NA	NA
24	13	4.0344	308	NA	NA	0.538707224	NA	NA	NA	NA	NA
23	12.2	2.3552	303	NA	NA	0.556197719	NA	NA	NA	NA	NA
22	11	1.6038	294	NA	NA	0.587680608	NA	NA	NA	NA	NA
14	12.2	1.8144	282	NA	NA	0.629657795	NA	NA	NA	NA	NA
12	11.5	4.1772	278	NA	NA	0.64365019	NA	NA	NA	NA	NA
36	13.4	1.7424	276	NA	NA	0.650646388	NA	NA	NA	NA	NA
24	11.8	2.94	273	NA	NA	0.661140684	NA	NA	NA	NA	NA
14	13.4	1.0206	259	NA	NA	0.710114068	NA	NA	NA	NA	NA
9	14.4	1.2321	234	NA	NA	0.79756654	NA	NA	NA	NA	NA
35	14.2	2.366	221	NA	NA	0.843041825	NA	NA	NA	NA	NA
18	14.2	2.5992	199	NA	NA	0.92	NA	NA	NA	NA	NA
