N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	14	2.8512	462	0.92	0.003498099	0	linear	1	no	foram	Asterocyclina_stella.taramellii
30	12.7	2.883	452	NA	NA	0.034980989	NA	NA	NA	NA	NA
21	12.8	1.4196	430	NA	NA	0.111939163	NA	NA	NA	NA	NA
10	13.5	1.6	423	NA	NA	0.136425856	NA	NA	NA	NA	NA
25	13.3	1.21	419	NA	NA	0.150418251	NA	NA	NA	NA	NA
25	13.4	2.56	413	NA	NA	0.171406844	NA	NA	NA	NA	NA
20	12.6	4.232	407	NA	NA	0.192395437	NA	NA	NA	NA	NA
23	13.7	1.2167	402	NA	NA	0.209885932	NA	NA	NA	NA	NA
29	12.7	2.61	399	NA	NA	0.220380228	NA	NA	NA	NA	NA
25	12	2.4025	377	NA	NA	0.297338403	NA	NA	NA	NA	NA
23	12.7	3.1487	375	NA	NA	0.304334601	NA	NA	NA	NA	NA
18	12.3	1.4112	374	NA	NA	0.3078327	NA	NA	NA	NA	NA
20	11.8	1.25	366	NA	NA	0.33581749	NA	NA	NA	NA	NA
20	11.6	2.048	336	NA	NA	0.440760456	NA	NA	NA	NA	NA
24	11	1.3824	335	NA	NA	0.444258555	NA	NA	NA	NA	NA
25	11.2	2.4025	331	NA	NA	0.458250951	NA	NA	NA	NA	NA
21	10.6	1.7661	317	NA	NA	0.507224335	NA	NA	NA	NA	NA
25	9.8	3.4225	308	NA	NA	0.538707224	NA	NA	NA	NA	NA
23	9.6	1.5548	303	NA	NA	0.556197719	NA	NA	NA	NA	NA
23	8.3	1.3248	294	NA	NA	0.587680608	NA	NA	NA	NA	NA
15	92	2.2815	282	NA	NA	0.629657795	NA	NA	NA	NA	NA
12	8.9	2.2188	278	NA	NA	0.64365019	NA	NA	NA	NA	NA
36	10.6	1.7424	276	NA	NA	0.650646388	NA	NA	NA	NA	NA
24	9.1	1.3824	273	NA	NA	0.661140684	NA	NA	NA	NA	NA
14	10.8	1.5246	259	NA	NA	0.710114068	NA	NA	NA	NA	NA
11	11.2	0.7436	234	NA	NA	0.79756654	NA	NA	NA	NA	NA
35	11.1	2.1875	221	NA	NA	0.843041825	NA	NA	NA	NA	NA
18	11.3	2.205	199	NA	NA	0.92	NA	NA	NA	NA	NA
