N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	19.8	2.809	407	0.77	0.00308	0	linear	1	no	foram	Discocyc1ina_varians
27	20.1	4.7628	399	NA	NA	0.02464	NA	NA	NA	NA	NA
6	19.2	7.5264	397	NA	NA	0.0308	NA	NA	NA	NA	NA
11	15.5	2.2275	382	NA	NA	0.077	NA	NA	NA	NA	NA
18	14.8	4.3218	366	NA	NA	0.12628	NA	NA	NA	NA	NA
8	17	3.4848	336	NA	NA	0.21868	NA	NA	NA	NA	NA
4	17.5	25	303	NA	NA	0.32032	NA	NA	NA	NA	NA
20	24.5	15.842	276	NA	NA	0.40348	NA	NA	NA	NA	NA
67	23.4	20.2675	273	NA	NA	0.41272	NA	NA	NA	NA	NA
20	30.5	28.8	221	NA	NA	0.57288	NA	NA	NA	NA	NA
13	25.6	33.6973	199	NA	NA	0.64064	NA	NA	NA	NA	NA
4	20.7	6.76	193	NA	NA	0.65912	NA	NA	NA	NA	NA
4	19.8	16	187	NA	NA	0.6776	NA	NA	NA	NA	NA
3	14.3	2.43	157	NA	NA	0.77	NA	NA	NA	NA	NA
