N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
25	2.02	0.119025	462	0.84	0.003485477	0	linear	1	no	foram	Asterocyclina_stella.taramellii
25	2.12	0.216225	452	NA	NA	0.034854772	NA	NA	NA	NA	NA
25	2.42	0.180625	430	NA	NA	0.11153527	NA	NA	NA	NA	NA
25	1.54	0.112225	419	NA	NA	0.149875519	NA	NA	NA	NA	NA
25	2.08	0.207025	413	NA	NA	0.170788382	NA	NA	NA	NA	NA
25	1.89	0.207025	407	NA	NA	0.191701245	NA	NA	NA	NA	NA
25	2.2	0.216225	402	NA	NA	0.209128631	NA	NA	NA	NA	NA
25	2.02	0.216225	399	NA	NA	0.219585062	NA	NA	NA	NA	NA
25	1.51	0.1764	377	NA	NA	0.29626556	NA	NA	NA	NA	NA
25	1.78	0.126025	375	NA	NA	0.303236515	NA	NA	NA	NA	NA
25	1.75	0.1369	366	NA	NA	0.334605809	NA	NA	NA	NA	NA
25	1.69	0.1764	336	NA	NA	0.439170124	NA	NA	NA	NA	NA
25	1.44	0.030625	335	NA	NA	0.442655602	NA	NA	NA	NA	NA
25	1.42	0.046225	331	NA	NA	0.45659751	NA	NA	NA	NA	NA
25	1.46	0.140625	320	NA	NA	0.494937759	NA	NA	NA	NA	NA
25	1.32	14.0625	317	NA	NA	0.505394191	NA	NA	NA	NA	NA
25	1.38	0.087025	314	NA	NA	0.515850622	NA	NA	NA	NA	NA
25	1.36	0.0324	308	NA	NA	0.536763485	NA	NA	NA	NA	NA
10	1.37	0.05329	303	NA	NA	0.554190871	NA	NA	NA	NA	NA
25	1.38	0.0576	297	NA	NA	0.575103734	NA	NA	NA	NA	NA
25	1.27	0.0484	294	NA	NA	0.585560166	NA	NA	NA	NA	NA
5	1.18	0.0405	291	NA	NA	0.596016598	NA	NA	NA	NA	NA
17	1.5	0.103428	282	NA	NA	0.627385892	NA	NA	NA	NA	NA
29	1.34	0.176436	278	NA	NA	0.641327801	NA	NA	NA	NA	NA
23	2.14	0.5175	276	NA	NA	0.648298755	NA	NA	NA	NA	NA
30	1.46	0.18723	273	NA	NA	0.658755187	NA	NA	NA	NA	NA
4	1.35	0.1156	259	NA	NA	0.707551867	NA	NA	NA	NA	NA
3	1.1	0.03	254	NA	NA	0.724979253	NA	NA	NA	NA	NA
11	1.34	0.034496	226	NA	NA	0.822572614	NA	NA	NA	NA	NA
30	1.41	0.13068	221	NA	NA	0.84	NA	NA	NA	NA	NA
