N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
25	0.76	0.0121	462	0.84	0.003485477	0	linear	1	no	foram	Asterocyclina_stella.taramellii
25	0.87	0.021025	452	NA	NA	0.034854772	NA	NA	NA	NA	NA
25	0.86	0.0144	430	NA	NA	0.11153527	NA	NA	NA	NA	NA
25	0.68	0.018225	419	NA	NA	0.149875519	NA	NA	NA	NA	NA
25	0.82	0.0324	413	NA	NA	0.170788382	NA	NA	NA	NA	NA
25	0.76	0.009025	407	NA	NA	0.191701245	NA	NA	NA	NA	NA
25	0.77	0.024025	402	NA	NA	0.209128631	NA	NA	NA	NA	NA
25	0.77	0.0289	399	NA	NA	0.219585062	NA	NA	NA	NA	NA
25	0.7	0.0289	377	NA	NA	0.29626556	NA	NA	NA	NA	NA
25	0.81	0.021025	375	NA	NA	0.303236515	NA	NA	NA	NA	NA
25	0.86	0.018225	366	NA	NA	0.334605809	NA	NA	NA	NA	NA
25	0.77	0.0289	336	NA	NA	0.439170124	NA	NA	NA	NA	NA
25	0.74	0.0225	335	NA	NA	0.442655602	NA	NA	NA	NA	NA
25	0.72	0.0169	331	NA	NA	0.45659751	NA	NA	NA	NA	NA
25	0.71	0.024025	320	NA	NA	0.494937759	NA	NA	NA	NA	NA
25	0.67	0.027225	317	NA	NA	0.505394191	NA	NA	NA	NA	NA
25	0.72	0.027225	314	NA	NA	0.515850622	NA	NA	NA	NA	NA
25	0.66	0.0144	308	NA	NA	0.536763485	NA	NA	NA	NA	NA
10	0.76	0.00484	303	NA	NA	0.554190871	NA	NA	NA	NA	NA
25	0.67	0.018225	297	NA	NA	0.575103734	NA	NA	NA	NA	NA
25	0.6	0.0144	294	NA	NA	0.585560166	NA	NA	NA	NA	NA
5	0.56	0.00288	291	NA	NA	0.596016598	NA	NA	NA	NA	NA
17	0.74	0.025857	282	NA	NA	0.627385892	NA	NA	NA	NA	NA
29	0.61	0.015341	278	NA	NA	0.641327801	NA	NA	NA	NA	NA
23	0.71	0.018032	276	NA	NA	0.648298755	NA	NA	NA	NA	NA
30	0.57	0.02187	273	NA	NA	0.658755187	NA	NA	NA	NA	NA
4	0.6	0.026896	259	NA	NA	0.707551867	NA	NA	NA	NA	NA
3	0.58	0.000432	254	NA	NA	0.724979253	NA	NA	NA	NA	NA
11	0.74	0.014256	226	NA	NA	0.822572614	NA	NA	NA	NA	NA
30	0.72	0.01323	221	NA	NA	0.84	NA	NA	NA	NA	NA
