#Geary 1990 shouldering											
N	mm	vv	age	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
40	1.0079	5.29E-05	19.548	10.5648	NA	19.548	linear	1	no	mollusk	Melanopsis_impressa
25	1.0114	0.0001	17.013	NA	NA	17.013	NA	NA	NA	NA	NA
21	1.0169	4.26E-05	12.539	NA	NA	12.539	NA	NA	NA	NA	NA
30	1.0228	0.000279075	11.997	NA	NA	11.997	NA	NA	NA	NA	NA
40	1.0259	5.06E-05	11.372	NA	NA	11.372	NA	NA	NA	NA	NA
50	1.0427	0.000392	10.716	NA	NA	10.716	NA	NA	NA	NA	NA
20	1.0969	0.000973	10.247	NA	NA	10.247	NA	NA	NA	NA	NA
24	1.1121	0.00106134	9.9858	NA	NA	9.9858	NA	NA	NA	NA	NA
15	1.0933	0.000942084	9.9009	NA	NA	9.9009	NA	NA	NA	NA	NA
42	1.097	0.001060526	9.5561	NA	NA	9.5561	NA	NA	NA	NA	NA
79	1.1173	0.000687498	8.9832	NA	NA	8.9832	NA	NA	NA	NA	NA
