#Geary et al 1987 posterior ribs											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	10.181	1.909685594	-90.379	3.38	1.002967359	0	linear	1	no	mollusk	Pleuriocardia_pauperculum
14	11.088	1.96875	-90.03	NA	NA	0.350035608	NA	NA	NA	NA	NA
20	9.0596	1.632775513	-89.856	NA	NA	0.524551929	NA	NA	NA	NA	NA
11	10.881	1.334058688	-89.856	NA	NA	0.524551929	NA	NA	NA	NA	NA
15	11.063	1.224795938	-89.778	NA	NA	0.602783383	NA	NA	NA	NA	NA
25	10.757	1.455039063	-89.412	NA	NA	0.969869436	NA	NA	NA	NA	NA
25	10.187	2.304703516	-89.377	NA	NA	1.004973294	NA	NA	NA	NA	NA
19	9.5103	1.751863128	-89.325	NA	NA	1.057127596	NA	NA	NA	NA	NA
20	10.054	1.25	-89.134	NA	NA	1.248694362	NA	NA	NA	NA	NA
9	9.3415	0.73462041	-89.09	NA	NA	1.292824926	NA	NA	NA	NA	NA
12	9.164	2.68645107	-89.064	NA	NA	1.318902077	NA	NA	NA	NA	NA
22	8.6301	1.474927424	-89.02	NA	NA	1.363032641	NA	NA	NA	NA	NA
25	9.4176	2.302047563	-88.977	NA	NA	1.406160237	NA	NA	NA	NA	NA
25	8.813	0.510153062	-88.916	NA	NA	1.467341246	NA	NA	NA	NA	NA
25	9.3885	1.5625	-88.82	NA	NA	1.563626113	NA	NA	NA	NA	NA
25	8.6512	3.684960141	-88.515	NA	NA	1.869531157	NA	NA	NA	NA	NA
25	8.4561	0.87890625	-88.054	NA	NA	2.33189911	NA	NA	NA	NA	NA
21	9.6347	1.824428813	-88.054	NA	NA	2.33189911	NA	NA	NA	NA	NA
25	7.6365	0.797225766	-88.01	NA	NA	2.376029674	NA	NA	NA	NA	NA
25	8.5651	1.245456	-88.01	NA	NA	2.376029674	NA	NA	NA	NA	NA
21	9.8508	1.823500468	-88.01	NA	NA	2.376029674	NA	NA	NA	NA	NA
17	12.208	0.654739063	-88.001	NA	NA	2.38505638	NA	NA	NA	NA	NA
21	8.854	1.220460268	-87.932	NA	NA	2.454261128	NA	NA	NA	NA	NA
25	8.3573	0.87890625	-87.853	NA	NA	2.533495549	NA	NA	NA	NA	NA
16	9.4706	0.92910321	-87.705	NA	NA	2.681934718	NA	NA	NA	NA	NA
10	8.624	1.340109056	-87.453	NA	NA	2.934682493	NA	NA	NA	NA	NA
12	7.4873	0.64672347	-87.305	NA	NA	3.083121662	NA	NA	NA	NA	NA
19	7.8463	0.801203828	-87.261	NA	NA	3.127252226	NA	NA	NA	NA	NA
22	8.4282	0.927935594	-87.009	NA	NA	3.38	NA	NA	NA	NA	NA
