#Geary et al 1987 total ribs											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
22	32.755	5.744662	-90.111	2.88	1.001042753	0	linear	1	no	mollusk	Pleuriocardia_pauperculum
14	33.394	3.914071875	-89.933	NA	NA	0.17818561	NA	NA	NA	NA	NA
20	33.747	27.05138	-89.908	NA	NA	0.203211679	NA	NA	NA	NA	NA
11	31.422	3.495954688	-89.858	NA	NA	0.253263816	NA	NA	NA	NA	NA
15	34.319	3.65313375	-89.536	NA	NA	0.575599583	NA	NA	NA	NA	NA
25	31.501	4.85100625	-89.486	NA	NA	0.625651721	NA	NA	NA	NA	NA
25	31.291	5.658451563	-89.436	NA	NA	0.675703858	NA	NA	NA	NA	NA
19	31.786	3.120323688	-89.36	NA	NA	0.751783107	NA	NA	NA	NA	NA
20	29.533	2.24115125	-89.259	NA	NA	0.852888425	NA	NA	NA	NA	NA
9	29.676	3.423425063	-89.175	NA	NA	0.936976017	NA	NA	NA	NA	NA
12	29.183	1.64502075	-89.141	NA	NA	0.97101147	NA	NA	NA	NA	NA
22	31.439	5.744662	-89.124	NA	NA	0.988029197	NA	NA	NA	NA	NA
25	34.33	7.459726563	-89.097	NA	NA	1.015057351	NA	NA	NA	NA	NA
25	28.128	15.721225	-89.048	NA	NA	1.064108446	NA	NA	NA	NA	NA
25	28.771	6.989414063	-88.669	NA	NA	1.44350365	NA	NA	NA	NA	NA
25	32.869	4.105689063	-88.246	NA	NA	1.866944734	NA	NA	NA	NA	NA
25	27.584	7.459726562	-88.222	NA	NA	1.89096976	NA	NA	NA	NA	NA
21	29.135	2.878786312	-88.196	NA	NA	1.916996872	NA	NA	NA	NA	NA
25	30.686	5.658451562	-88.17	NA	NA	1.943023983	NA	NA	NA	NA	NA
25	30.264	1.9881	-88.145	NA	NA	1.968050052	NA	NA	NA	NA	NA
21	23.428	3.757509	-88.105	NA	NA	2.008091762	NA	NA	NA	NA	NA
17	29.349	2.791868563	-88.069	NA	NA	2.044129301	NA	NA	NA	NA	NA
21	29.21	2.113598813	-88.002	NA	NA	2.111199166	NA	NA	NA	NA	NA
25	28.012	4.85100625	-87.968	NA	NA	2.145234619	NA	NA	NA	NA	NA
16	31.679	2.4025	-87.891	NA	NA	2.222314911	NA	NA	NA	NA	NA
10	30.345	2.795765625	-87.672	NA	NA	2.441543274	NA	NA	NA	NA	NA
12	27.74	3.35491875	-87.555	NA	NA	2.558665276	NA	NA	NA	NA	NA
19	28.87	3.399651	-87.479	NA	NA	2.634744526	NA	NA	NA	NA	NA
22	29.862	3.613006375	-87.234	NA	NA	2.88	NA	NA	NA	NA	NA
