#Gingerich 1991 lnLxW of M1											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
33	3.612172727	0.00880234	1532	0.6186667	0.002666667	0	area	NA	yes	mammal	Hyracotherium
6	3.6015	0.001357648	1549	NA	NA	0.045333339	NA	NA	NA	NA	NA
22	3.593254545	0.006969572	1566	NA	NA	0.090666678	NA	NA	NA	NA	NA
15	3.55368	0.010604206	1583	NA	NA	0.136000017	NA	NA	NA	NA	NA
9	3.6	0.009230383	1616	NA	NA	0.224000028	NA	NA	NA	NA	NA
7	3.531542857	0.006380026	1633	NA	NA	0.269333367	NA	NA	NA	NA	NA
40	3.53973	0.005273912	1648	NA	NA	0.309333372	NA	NA	NA	NA	NA
31	3.560390323	0.009708728	1665	NA	NA	0.354666711	NA	NA	NA	NA	NA
13	3.520069231	0.006203782	1681	NA	NA	0.397333383	NA	NA	NA	NA	NA
44	3.513893182	0.00771975	1697	NA	NA	0.440000055	NA	NA	NA	NA	NA
37	3.56222973	0.004655392	1714	NA	NA	0.485333394	NA	NA	NA	NA	NA
7	3.6009	0.017280593	1732	NA	NA	0.5333334	NA	NA	NA	NA	NA
61	3.611734426	0.013794488	1748	NA	NA	0.576000072	NA	NA	NA	NA	NA
32	3.6736125	0.007394502	1764	NA	NA	0.618666744	NA	NA	NA	NA	NA
