#Gingerich 1994 Haplomylus ln LxW M1											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
7	1.463114286	0.006910415	1530.885714	1.76	0.002696669	0	area	1	yes	mammal	Haplomylus
8	1.6391625	0.009194494	1536.675	NA	NA	0.015611786	NA	NA	NA	NA	NA
7	1.601371429	0.009253572	1571.7	NA	NA	0.110062602	NA	NA	NA	NA	NA
6	1.537883333	0.00829639	1630.566667	NA	NA	0.268806492	NA	NA	NA	NA	NA
14	1.634978571	0.008529234	1647.007143	NA	NA	0.313141007	NA	NA	NA	NA	NA
22	1.709040909	0.012308813	1667.554545	NA	NA	0.36855054	NA	NA	NA	NA	NA
14	1.761535714	0.007103621	1702.057143	NA	NA	0.461592611	NA	NA	NA	NA	NA
13	1.789753846	0.004222344	1722.730769	NA	NA	0.517342529	NA	NA	NA	NA	NA
19	1.658052632	0.01150065	1751.226316	NA	NA	0.594185575	NA	NA	NA	NA	NA
20	1.703005	0.013267238	1762.415	NA	NA	0.624357747	NA	NA	NA	NA	NA
15	1.74434375	0.005814447	1851.725	NA	NA	0.865197216	NA	NA	NA	NA	NA
6	1.81825	0.003860783	1898.15	NA	NA	0.990390054	NA	NA	NA	NA	NA
10	1.88889	0.010779499	1973.13	NA	NA	1.192586263	NA	NA	NA	NA	NA
9	1.899788889	0.008728231	2006.622222	NA	NA	1.282903685	NA	NA	NA	NA	NA
15	1.88596	0.007868015	2053.266667	NA	NA	1.408688294	NA	NA	NA	NA	NA
14	1.9829	0.00916432	2183.542857	NA	NA	1.76	NA	NA	NA	NA	NA
