#Gingerich 1994 Hyopsodus ln LxW M1											
N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
9	2.053377778	0.008317147	1517.677778	1.55	0.00269199	0	area	1	yes	mammal	Hyopsodus
11	2.067	0.00679048	1526.472727	NA	NA	0.023675915	NA	NA	NA	NA	NA
6	2.097083333	0.00566699	1533.283333	NA	NA	0.042009998	NA	NA	NA	NA	NA
15	2.190073333	0.013098129	1567.926667	NA	NA	0.135269508	NA	NA	NA	NA	NA
9	2.370077778	0.006775372	1588.444444	NA	NA	0.190503159	NA	NA	NA	NA	NA
6	2.139616667	0.004684606	1618.416667	NA	NA	0.271188085	NA	NA	NA	NA	NA
12	2.255591667	0.004120217	1627.891667	NA	NA	0.29669469	NA	NA	NA	NA	NA
28	2.364942857	0.013221915	1643.453571	NA	NA	0.338587181	NA	NA	NA	NA	NA
32	2.351446875	0.01659387	1663.375	NA	NA	0.392215469	NA	NA	NA	NA	NA
16	2.2506625	0.008258927	1688.41875	NA	NA	0.459632994	NA	NA	NA	NA	NA
27	2.287811111	0.015570333	1698.688889	NA	NA	0.487280106	NA	NA	NA	NA	NA
28	2.222703571	0.016313837	1718.503571	NA	NA	0.540621032	NA	NA	NA	NA	NA
34	2.228297059	0.017436707	1748.285294	NA	NA	0.620793133	NA	NA	NA	NA	NA
34	2.167117647	0.018042185	1758.276471	NA	NA	0.647689282	NA	NA	NA	NA	NA
17	2.416429412	0.009457227	1848.452941	NA	NA	0.89044344	NA	NA	NA	NA	NA
8	2.4838625	0.00823232	1868.675	NA	NA	0.944881022	NA	NA	NA	NA	NA
8	2.4846125	0.008027404	1892.8625	NA	NA	1.00999353	NA	NA	NA	NA	NA
13	2.493807692	0.008097842	1968.630769	NA	NA	1.213960955	NA	NA	NA	NA	NA
10	2.50754	0.014767472	2003.59	NA	NA	1.308070856	NA	NA	NA	NA	NA
17	2.506711765	0.009611106	2019.158824	NA	NA	1.349981975	NA	NA	NA	NA	NA
26	2.469034615	0.013516904	2048.726923	NA	NA	1.429579003	NA	NA	NA	NA	NA
25	2.382072	0.015233785	2093.46	NA	NA	1.55	NA	NA	NA	NA	NA
