N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	1.02	0.14	0	2.5	NA	0	area	1	no	ostracode	Velatomorpha_altilis
24	0.55	0.007	0.08911006	NA	NA	0.08911006	NA	NA	NA	NA	NA
42	0.63	0.004	0.13089983	NA	NA	0.13089983	NA	NA	NA	NA	NA
24	0.62	0.003	0.14810736	NA	NA	0.14810736	NA	NA	NA	NA	NA
23	0.54	0.004	0.16285648	NA	NA	0.16285648	NA	NA	NA	NA	NA
48	0.67	0.02	0.32264113	NA	NA	0.32264113	NA	NA	NA	NA	NA
18	0.48	0.002	0.41297998	NA	NA	0.41297998	NA	NA	NA	NA	NA
48	0.58	0.01	0.44616655	NA	NA	0.44616655	NA	NA	NA	NA	NA
20	0.54	0.008	1.01216818	NA	NA	1.01216818	NA	NA	NA	NA	NA
25	0.45	0.002	1.17133717	NA	NA	1.17133717	NA	NA	NA	NA	NA
11	0.49	0.004	1.45526007	NA	NA	1.45526007	NA	NA	NA	NA	NA
24	0.56	0.02	1.4878338	NA	NA	1.4878338	NA	NA	NA	NA	NA
13	0.44	0.003	2.2351288	NA	NA	2.2351288	NA	NA	NA	NA	NA
24	0.57	0.002	2.38385127	NA	NA	2.38385127	NA	NA	NA	NA	NA
9	0.58	0.004	2.5	NA	NA	2.5	NA	NA	NA	NA	NA
