N	mm	vv	level	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
10	3.77	0.5	0	2.5	NA	0	linear	1	no	ostracode	Velatomorpha_altilis
24	2.79	0.03	0.08911006	NA	NA	0.08911006	NA	NA	NA	NA	NA
42	2.95	0.02	0.13089983	NA	NA	0.13089983	NA	NA	NA	NA	NA
24	2.93	0.01	0.14810736	NA	NA	0.14810736	NA	NA	NA	NA	NA
23	2.72	0.02	0.16285648	NA	NA	0.16285648	NA	NA	NA	NA	NA
48	3.02	0.1	0.32264113	NA	NA	0.32264113	NA	NA	NA	NA	NA
18	2.58	0.01	0.41297998	NA	NA	0.41297998	NA	NA	NA	NA	NA
48	2.83	0.06	0.44616655	NA	NA	0.44616655	NA	NA	NA	NA	NA
20	2.73	0.05	1.01216818	NA	NA	1.01216818	NA	NA	NA	NA	NA
25	2.49	0.01	1.17133717	NA	NA	1.17133717	NA	NA	NA	NA	NA
11	2.64	0.03	1.45526007	NA	NA	1.45526007	NA	NA	NA	NA	NA
24	2.76	0.11	1.4878338	NA	NA	1.4878338	NA	NA	NA	NA	NA
13	2.48	0.02	2.2351288	NA	NA	2.2351288	NA	NA	NA	NA	NA
24	2.79	0.01	2.38385127	NA	NA	2.38385127	NA	NA	NA	NA	NA
9	2.84	0.03	2.5	NA	NA	2.5	NA	NA	NA	NA	NA
