N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
3	0.189	0.007921	0	6	0.086120281	0	linear	1	no	conodont	Pterospathodus_eopennatus.amorphognathoides
4	0.186	0.004624	0.07664705	NA	NA	0.07664705	NA	NA	NA	NA	NA
8	0.227	0.004624	0.17439357	NA	NA	0.17439357	NA	NA	NA	NA	NA
17	0.21	0.002209	0.30012918	NA	NA	0.30012918	NA	NA	NA	NA	NA
6	0.2	0.002809	0.880149275	NA	NA	0.880149275	NA	NA	NA	NA	NA
10	0.2	0.003721	1.005023683	NA	NA	1.005023683	NA	NA	NA	NA	NA
3	0.128	0.001089	1.20310033	NA	NA	1.20310033	NA	NA	NA	NA	NA
4	0.217	0.007225	1.379646907	NA	NA	1.379646907	NA	NA	NA	NA	NA
6	0.22	0.006561	1.569111526	NA	NA	1.569111526	NA	NA	NA	NA	NA
10	0.215	0.014884	1.693985934	NA	NA	1.693985934	NA	NA	NA	NA	NA
2	0.264	0.043681	2.016936989	NA	NA	2.016936989	NA	NA	NA	NA	NA
4	0.217	0.015376	2.085833214	NA	NA	2.085833214	NA	NA	NA	NA	NA
2	0.38	0.001764	2.417396297	NA	NA	2.417396297	NA	NA	NA	NA	NA
5	0.196	0.008836	2.490598536	NA	NA	2.490598536	NA	NA	NA	NA	NA
3	0.25	0.024025	2.604707909	NA	NA	2.604707909	NA	NA	NA	NA	NA
6	0.205	0.003364	2.736902541	NA	NA	2.736902541	NA	NA	NA	NA	NA
3	0.229	0.020449	2.854456725	NA	NA	2.854456725	NA	NA	NA	NA	NA
3	0.345	0.011236	2.949619635	NA	NA	2.949619635	NA	NA	NA	NA	NA
5	0.387	0.007569	2.977178125	NA	NA	2.977178125	NA	NA	NA	NA	NA
2	0.235	0.000016	3.093440505	NA	NA	3.093440505	NA	NA	NA	NA	NA
6	0.29	0.012321	3.263528061	NA	NA	3.263528061	NA	NA	NA	NA	NA
4	0.28	0.001296	3.547724989	NA	NA	3.547724989	NA	NA	NA	NA	NA
4	0.303	0.002601	3.819003875	NA	NA	3.819003875	NA	NA	NA	NA	NA
9	0.299	0.006724	4.553179274	NA	NA	4.553179274	NA	NA	NA	NA	NA
2	0.233	0.0081	5.054829912	NA	NA	5.054829912	NA	NA	NA	NA	NA
7	0.265	0.011236	5.399311038	NA	NA	5.399311038	NA	NA	NA	NA	NA
3	0.315	0.003364	6	NA	NA	6	NA	NA	NA	NA	NA
