N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
34	0.527	0.010404	0	6	0.086120281	0	linear	1	no	conodont	Pterospathodus_eopennatus.amorphognathoides
51	0.531	0.005476	0.07664705	NA	NA	0.07664705	NA	NA	NA	NA	NA
50	0.494	0.004761	0.17439357	NA	NA	0.17439357	NA	NA	NA	NA	NA
50	0.505	0.006889	0.30012918	NA	NA	0.30012918	NA	NA	NA	NA	NA
40	0.614	0.008649	0.880149275	NA	NA	0.880149275	NA	NA	NA	NA	NA
55	0.644	0.020164	1.005023683	NA	NA	1.005023683	NA	NA	NA	NA	NA
33	0.557	0.026244	1.20310033	NA	NA	1.20310033	NA	NA	NA	NA	NA
50	0.739	0.021316	1.379646907	NA	NA	1.379646907	NA	NA	NA	NA	NA
42	0.701	0.039204	1.569111526	NA	NA	1.569111526	NA	NA	NA	NA	NA
56	0.656	0.023104	1.693985934	NA	NA	1.693985934	NA	NA	NA	NA	NA
54	0.742	0.0576	2.016936989	NA	NA	2.016936989	NA	NA	NA	NA	NA
30	0.585	0.027889	2.085833214	NA	NA	2.085833214	NA	NA	NA	NA	NA
19	0.84	0.073441	2.305439931	NA	NA	2.305439931	NA	NA	NA	NA	NA
20	0.847	0.053824	2.417396297	NA	NA	2.417396297	NA	NA	NA	NA	NA
18	0.647	0.085849	2.490598536	NA	NA	2.490598536	NA	NA	NA	NA	NA
21	0.564	0.0484	2.604707909	NA	NA	2.604707909	NA	NA	NA	NA	NA
32	0.606	0.058564	2.736902541	NA	NA	2.736902541	NA	NA	NA	NA	NA
45	0.71	0.114244	2.854456725	NA	NA	2.854456725	NA	NA	NA	NA	NA
16	0.707	0.044521	2.949619635	NA	NA	2.949619635	NA	NA	NA	NA	NA
25	0.636	0.049284	2.977178125	NA	NA	2.977178125	NA	NA	NA	NA	NA
33	0.791	0.105625	3.093440505	NA	NA	3.093440505	NA	NA	NA	NA	NA
22	0.672	0.046656	3.153724702	NA	NA	3.153724702	NA	NA	NA	NA	NA
33	0.605	0.0676	3.263528061	NA	NA	3.263528061	NA	NA	NA	NA	NA
19	0.779	0.082369	3.547724989	NA	NA	3.547724989	NA	NA	NA	NA	NA
35	0.771	0.032041	3.819003875	NA	NA	3.819003875	NA	NA	NA	NA	NA
19	0.803	0.0961	4.17855605	NA	NA	4.17855605	NA	NA	NA	NA	NA
32	0.761	0.092416	4.553179274	NA	NA	4.553179274	NA	NA	NA	NA	NA
16	0.742	0.110224	5.054829912	NA	NA	5.054829912	NA	NA	NA	NA	NA
12	0.885	0.173056	5.399311038	NA	NA	5.399311038	NA	NA	NA	NA	NA
11	1.005	0.056644	5.96339888	NA	NA	5.96339888	NA	NA	NA	NA	NA
18	0.776	0.057121	6	NA	NA	6	NA	NA	NA	NA	NA
