N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
3	0.153	0.000441	0	5.96339888	0.086120281	0	linear	1	no	conodont	Pterospathodus_eopennatus.amorphognathoides
8	0.125	0.000784	0.30012918	NA	NA	0.30012918	NA	NA	NA	NA	NA
4	0.1	0.000841	0.880149275	NA	NA	0.880149275	NA	NA	NA	NA	NA
5	0.136	0.001936	1.005023683	NA	NA	1.005023683	NA	NA	NA	NA	NA
3	0.097	0.000196	1.20310033	NA	NA	1.20310033	NA	NA	NA	NA	NA
3	0.114	0.000081	1.379646907	NA	NA	1.379646907	NA	NA	NA	NA	NA
2	0.135	0.000441	1.569111526	NA	NA	1.569111526	NA	NA	NA	NA	NA
8	0.109	0.000576	1.693985934	NA	NA	1.693985934	NA	NA	NA	NA	NA
5	0.189	0.026244	2.016936989	NA	NA	2.016936989	NA	NA	NA	NA	NA
4	0.179	0.025921	2.085833214	NA	NA	2.085833214	NA	NA	NA	NA	NA
2	0.289	0.076176	2.305439931	NA	NA	2.305439931	NA	NA	NA	NA	NA
2	0.132	0.000324	2.417396297	NA	NA	2.417396297	NA	NA	NA	NA	NA
2	0.164	0.000441	2.490598536	NA	NA	2.490598536	NA	NA	NA	NA	NA
4	0.139	0.001156	2.604707909	NA	NA	2.604707909	NA	NA	NA	NA	NA
2	0.319	0.023409	2.736902541	NA	NA	2.736902541	NA	NA	NA	NA	NA
7	0.146	0.009801	2.854456725	NA	NA	2.854456725	NA	NA	NA	NA	NA
2	0.41	0.001764	2.949619635	NA	NA	2.949619635	NA	NA	NA	NA	NA
3	0.163	0.012544	3.093440505	NA	NA	3.093440505	NA	NA	NA	NA	NA
4	0.359	0.0324	3.263528061	NA	NA	3.263528061	NA	NA	NA	NA	NA
2	0.112	0.0004	3.547724989	NA	NA	3.547724989	NA	NA	NA	NA	NA
5	0.285	0.017161	3.819003875	NA	NA	3.819003875	NA	NA	NA	NA	NA
5	0.331	0.005184	4.17855605	NA	NA	4.17855605	NA	NA	NA	NA	NA
7	0.294	0.013689	4.553179274	NA	NA	4.553179274	NA	NA	NA	NA	NA
2	0.332	0.002809	5.054829912	NA	NA	5.054829912	NA	NA	NA	NA	NA
2	0.254	0.001369	5.399311038	NA	NA	5.399311038	NA	NA	NA	NA	NA
3	0.382	0.001024	5.96339888	NA	NA	5.96339888	NA	NA	NA	NA	NA
