N	mm	vv	depth	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
30	0.322	0.001849	0	5.96339888	0.086120281	0	linear	1	no	conodont	Pterospathodus_eopennatus.amorphognathoides
40	0.349	0.002025	0.07664705	NA	NA	0.07664705	NA	NA	NA	NA	NA
48	0.323	0.001444	0.17439357	NA	NA	0.17439357	NA	NA	NA	NA	NA
45	0.381	0.001369	0.30012918	NA	NA	0.30012918	NA	NA	NA	NA	NA
34	0.351	0.001849	0.880149275	NA	NA	0.880149275	NA	NA	NA	NA	NA
38	0.341	0.001764	1.005023683	NA	NA	1.005023683	NA	NA	NA	NA	NA
28	0.298	0.001369	1.20310033	NA	NA	1.20310033	NA	NA	NA	NA	NA
40	0.292	0.001849	1.379646907	NA	NA	1.379646907	NA	NA	NA	NA	NA
36	0.284	0.000841	1.569111526	NA	NA	1.569111526	NA	NA	NA	NA	NA
42	0.271	0.000576	1.693985934	NA	NA	1.693985934	NA	NA	NA	NA	NA
35	0.254	0.001156	2.016936989	NA	NA	2.016936989	NA	NA	NA	NA	NA
17	0.264	0.0009	2.085833214	NA	NA	2.085833214	NA	NA	NA	NA	NA
15	0.265	0.000676	2.305439931	NA	NA	2.305439931	NA	NA	NA	NA	NA
15	0.278	0.000324	2.417396297	NA	NA	2.417396297	NA	NA	NA	NA	NA
16	0.32	0.000676	2.490598536	NA	NA	2.490598536	NA	NA	NA	NA	NA
17	0.299	0.005625	2.604707909	NA	NA	2.604707909	NA	NA	NA	NA	NA
25	0.253	0.002704	2.736902541	NA	NA	2.736902541	NA	NA	NA	NA	NA
32	0.252	0.003249	2.854456725	NA	NA	2.854456725	NA	NA	NA	NA	NA
13	0.244	0.000676	2.949619635	NA	NA	2.949619635	NA	NA	NA	NA	NA
15	0.256	0.000961	2.977178125	NA	NA	2.977178125	NA	NA	NA	NA	NA
25	0.219	0.000441	3.093440505	NA	NA	3.093440505	NA	NA	NA	NA	NA
18	0.227	0.001089	3.153724702	NA	NA	3.153724702	NA	NA	NA	NA	NA
28	0.223	0.000676	3.263528061	NA	NA	3.263528061	NA	NA	NA	NA	NA
15	0.218	0.000529	3.547724989	NA	NA	3.547724989	NA	NA	NA	NA	NA
29	0.206	0.000625	3.819003875	NA	NA	3.819003875	NA	NA	NA	NA	NA
14	0.205	0.000484	4.17855605	NA	NA	4.17855605	NA	NA	NA	NA	NA
21	0.208	0.000625	4.553179274	NA	NA	4.553179274	NA	NA	NA	NA	NA
14	0.206	0.000729	5.054829912	NA	NA	5.054829912	NA	NA	NA	NA	NA
7	0.199	0.000676	5.399311038	NA	NA	5.399311038	NA	NA	NA	NA	NA
6	0.188	0.000576	5.96339888	NA	NA	5.96339888	NA	NA	NA	NA	NA
10	0.198	0.000625	6	NA	NA	6	NA	NA	NA	NA	NA
