#Anad1-DBAM-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
9	1.993025	0.009894445	0	1.707	NA	0	linear	1	no	mollusk	Anadara_staminea
20	2.01046	0.012128572	0.8225	NA	NA	0.8225	NA	NA	NA	NA	NA
33	1.965419	0.012508171	0.856	NA	NA	0.856	NA	NA	NA	NA	NA
15	1.993031	0.026262672	0.879	NA	NA	0.879	NA	NA	NA	NA	NA
14	1.982692	0.006345434	0.9125	NA	NA	0.9125	NA	NA	NA	NA	NA
30	1.957145	0.012259426	1.396	NA	NA	1.396	NA	NA	NA	NA	NA
21	1.898839	0.009817285	1.458	NA	NA	1.458	NA	NA	NA	NA	NA
58	1.887386	0.016385868	1.52	NA	NA	1.52	NA	NA	NA	NA	NA
16	1.91073	0.01197744	1.614	NA	NA	1.614	NA	NA	NA	NA	NA
17	1.855854	0.041984336	1.707	NA	NA	1.707	NA	NA	NA	NA	NA
