#Anad1-DDM-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
9	2.510381	0.05791479	0	1.707	NA	0	linear	1	no	mollusk	Anadara_staminea
19	2.278819	0.005921481	0.8225	NA	NA	0.8225	NA	NA	NA	NA	NA
33	2.321976	0.006620393	0.856	NA	NA	0.856	NA	NA	NA	NA	NA
15	2.264665	0.005084957	0.879	NA	NA	0.879	NA	NA	NA	NA	NA
14	2.404825	0.007517336	0.9125	NA	NA	0.9125	NA	NA	NA	NA	NA
30	2.38256	0.015863245	1.396	NA	NA	1.396	NA	NA	NA	NA	NA
21	2.353066	0.009607661	1.458	NA	NA	1.458	NA	NA	NA	NA	NA
56	2.402784	0.008876917	1.52	NA	NA	1.52	NA	NA	NA	NA	NA
14	2.30911	0.050313877	1.614	NA	NA	1.614	NA	NA	NA	NA	NA
17	2.390245	0.015044489	1.707	NA	NA	1.707	NA	NA	NA	NA	NA
