#Anad1-H-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
9	3.089942	0.02447287	0	1.707	NA	0	linear	1	no	mollusk	Anadara_staminea
19	3.013297	0.002811906	0.8225	NA	NA	0.8225	NA	NA	NA	NA	NA
33	3.00219	0.003920564	0.856	NA	NA	0.856	NA	NA	NA	NA	NA
15	3.009666	0.00507392	0.879	NA	NA	0.879	NA	NA	NA	NA	NA
14	3.072094	0.001649193	0.9125	NA	NA	0.9125	NA	NA	NA	NA	NA
30	3.011049	0.004262224	1.396	NA	NA	1.396	NA	NA	NA	NA	NA
19	2.986848	0.002923927	1.458	NA	NA	1.458	NA	NA	NA	NA	NA
58	3.01282	0.003394886	1.52	NA	NA	1.52	NA	NA	NA	NA	NA
16	3.012594	0.004539694	1.614	NA	NA	1.614	NA	NA	NA	NA	NA
17	2.991818	0.006718986	1.707	NA	NA	1.707	NA	NA	NA	NA	NA
