#Anad1-HCA-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
9	1.0332478	0.213653	0	1.707	NA	0	linear	1	no	mollusk	Anadara_staminea
20	0.6759597	0.01381609	0.8225	NA	NA	0.8225	NA	NA	NA	NA	NA
33	0.7841074	0.06351813	0.856	NA	NA	0.856	NA	NA	NA	NA	NA
15	0.4942881	0.05634359	0.879	NA	NA	0.879	NA	NA	NA	NA	NA
14	1.0939256	0.04593426	0.9125	NA	NA	0.9125	NA	NA	NA	NA	NA
30	1.0564885	0.05110125	1.396	NA	NA	1.396	NA	NA	NA	NA	NA
21	1.1462008	0.02546778	1.458	NA	NA	1.458	NA	NA	NA	NA	NA
58	1.1321681	0.02926663	1.52	NA	NA	1.52	NA	NA	NA	NA	NA
16	1.253715	0.01969717	1.614	NA	NA	1.614	NA	NA	NA	NA	NA
17	1.2357236	0.02784428	1.707	NA	NA	1.707	NA	NA	NA	NA	NA
