#Anad1-LAA-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
9	1.872173	0.080148019	0	1.707	NA	0	linear	1	no	mollusk	Anadara_staminea
19	1.584565	0.011985026	0.8225	NA	NA	0.8225	NA	NA	NA	NA	NA
33	1.599979	0.017852191	0.856	NA	NA	0.856	NA	NA	NA	NA	NA
15	1.529676	0.021627519	0.879	NA	NA	0.879	NA	NA	NA	NA	NA
14	1.624529	0.009094458	0.9125	NA	NA	0.9125	NA	NA	NA	NA	NA
30	1.577337	0.0115345	1.396	NA	NA	1.396	NA	NA	NA	NA	NA
21	1.60156	0.005505843	1.458	NA	NA	1.458	NA	NA	NA	NA	NA
57	1.601918	0.014975278	1.52	NA	NA	1.52	NA	NA	NA	NA	NA
14	1.632385	0.006994185	1.614	NA	NA	1.614	NA	NA	NA	NA	NA
17	1.612361	0.016926773	1.707	NA	NA	1.707	NA	NA	NA	NA	NA
