#Anad1-LCA-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
9	2.630342	0.016039022	0	1.707	NA	0	linear	1	no	mollusk	Anadara_staminea
20	2.593924	0.002828193	0.8225	NA	NA	0.8225	NA	NA	NA	NA	NA
33	2.623778	0.008984349	0.856	NA	NA	0.856	NA	NA	NA	NA	NA
15	2.526075	0.004513099	0.879	NA	NA	0.879	NA	NA	NA	NA	NA
13	2.637831	0.005951642	0.9125	NA	NA	0.9125	NA	NA	NA	NA	NA
30	2.698377	0.007130708	1.396	NA	NA	1.396	NA	NA	NA	NA	NA
21	2.694617	0.004419793	1.458	NA	NA	1.458	NA	NA	NA	NA	NA
57	2.704373	0.005737448	1.52	NA	NA	1.52	NA	NA	NA	NA	NA
16	2.726668	0.00853253	1.614	NA	NA	1.614	NA	NA	NA	NA	NA
17	2.732431	0.008268233	1.707	NA	NA	1.707	NA	NA	NA	NA	NA
