#Anad1-NR-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
9	3.321274	0.001300019	0	1.707	NA	0	linear	1	no	mollusk	Anadara_staminea
20	3.33501	0.001748139	0.8225	NA	NA	0.8225	NA	NA	NA	NA	NA
33	3.323978	0.003228109	0.856	NA	NA	0.856	NA	NA	NA	NA	NA
15	3.36205	0.004590743	0.879	NA	NA	0.879	NA	NA	NA	NA	NA
13	3.333099	0.002121817	0.9125	NA	NA	0.9125	NA	NA	NA	NA	NA
30	3.273333	0.003222005	1.396	NA	NA	1.396	NA	NA	NA	NA	NA
21	3.246449	0.001499782	1.458	NA	NA	1.458	NA	NA	NA	NA	NA
57	3.245787	0.002757513	1.52	NA	NA	1.52	NA	NA	NA	NA	NA
16	3.278986	0.003072824	1.614	NA	NA	1.614	NA	NA	NA	NA	NA
17	3.271932	0.002405578	1.707	NA	NA	1.707	NA	NA	NA	NA	NA
