#Anad1-W-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
9	2.24976	0.026296503	0	1.707	NA	0	linear	1	no	mollusk	Anadara_staminea
20	2.182232	0.006290743	0.8225	NA	NA	0.8225	NA	NA	NA	NA	NA
33	2.190462	0.010911922	0.856	NA	NA	0.856	NA	NA	NA	NA	NA
15	2.13902	0.006790034	0.879	NA	NA	0.879	NA	NA	NA	NA	NA
14	2.310906	0.010448671	0.9125	NA	NA	0.9125	NA	NA	NA	NA	NA
30	2.326912	0.008666145	1.396	NA	NA	1.396	NA	NA	NA	NA	NA
21	2.330671	0.00350261	1.458	NA	NA	1.458	NA	NA	NA	NA	NA
58	2.323864	0.004300948	1.52	NA	NA	1.52	NA	NA	NA	NA	NA
14	2.324646	0.005444572	1.614	NA	NA	1.614	NA	NA	NA	NA	NA
17	2.308083	0.00500306	1.707	NA	NA	1.707	NA	NA	NA	NA	NA
