#Ches2-CON-age1_Kelley.1983											
N	mm	vv	tt	interval.length.MY	MY.per.meter	age.in.MY	dimension	generation.time	log	taxa	species
34	0.182294	0.000634195	0	4.585	NA	0	linear	1	no	mollusk	Chesapecten_nefrens
17	0.2038565	0.002601082	0.42	NA	NA	0.42	NA	NA	NA	NA	NA
18	0.1663622	0.000366645	1.186	NA	NA	1.186	NA	NA	NA	NA	NA
31	0.1821188	0.000346616	1.209	NA	NA	1.209	NA	NA	NA	NA	NA
46	0.178861	0.000527617	1.231	NA	NA	1.231	NA	NA	NA	NA	NA
37	0.1811171	0.000349099	1.254	NA	NA	1.254	NA	NA	NA	NA	NA
28	0.1737782	0.000466182	1.276	NA	NA	1.276	NA	NA	NA	NA	NA
18	0.1805086	0.000952349	1.299	NA	NA	1.299	NA	NA	NA	NA	NA
8	0.1953344	0.001802478	1.3325	NA	NA	1.3325	NA	NA	NA	NA	NA
42	0.1768992	0.00075723	1.816	NA	NA	1.816	NA	NA	NA	NA	NA
11	0.1913379	0.001686225	1.909	NA	NA	1.909	NA	NA	NA	NA	NA
33	0.1835496	0.000530221	2.003	NA	NA	2.003	NA	NA	NA	NA	NA
12	0.1957361	0.000774811	2.065	NA	NA	2.065	NA	NA	NA	NA	NA
8	0.1634436	0.00029027	2.127	NA	NA	2.127	NA	NA	NA	NA	NA
8	0.1948504	0.000239966	4.585	NA	NA	4.585	NA	NA	NA	NA	NA
